,mse_R,mae_R,hmse_R,hmae_R,mse_MAX,mae_MAX,hmse_MAX,hmae_MAX
cnn_m,0.0,0.0,0.0,0.0,0.011,0.001,0.001,0.001
lstm_m,0.0,0.001,0.0,0.0,0.067,0.11,0.065,0.115
bilstm_m,0.001,0.001,0.0,0.001,0.067,0.11,0.065,0.115
cnn_lstm_m,0.017,0.011,0.002,0.004,0.067,0.11,0.065,0.115
cnn_bilstm_m,0.153,0.036,0.268,0.051,0.153,0.11,0.268,0.115
cbmams_bilstm_m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
