model,mae,rmse,r2,mape
cnn_m,0.014460142864383409,0.019263671960461044,0.8910362310063599,0.0358322427750575
lstm_m,0.013114743229230612,0.01721490274988999,0.9129811948046181,0.03280082484172917
bilstm_m,0.015430298176589492,0.019779211199121096,0.8851259575455603,0.038267057432934425
cnn_lstm_m,0.013699804296539726,0.017663302266362733,0.908388969044392,0.03375038974417928
cnn_bilstm_m,0.016275949615917686,0.020275707094666053,0.8792864599836229,0.040148695320667255
cbmams_bilstm_m,0.01740125175639183,0.022809768661276,0.8472273084963708,0.04138675415377138
