model,mae,rmse,r2,mape
cnn_m,0.02582802652133001,0.03244353423201203,0.8550649162713777,0.05165610799188884
lstm_m,0.016436340327206044,0.01958860388781665,0.9471646999253123,0.034152088120206085
bilstm_m,0.01836108888296051,0.02156792077612891,0.935947841585259,0.03765736164163066
cnn_lstm_m,0.013350248221950219,0.017191343823623317,0.95930539266334,0.02810523868009681
cnn_bilstm_m,0.014566717952578245,0.01913339939687119,0.9495917658080032,0.030838251180138068
cbmams_bilstm_m,0.021306487365445635,0.026474826049414313,0.9034875277750637,0.04375395488637165
