寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
1397.85,1405.04,1390.73,1404.4,191800.64,15393960000.0
1408.42,1424.62,1406.48,1424.62,188684.91,14876584000.0
1425.12,1439.48,1423.02,1439.48,221152.24,17221128000.0
1442.06,1442.06,1409.98,1418.49,261652.37,20187488000.0
1415.87,1418.19,1394.85,1398.57,218360.45,16569459200.0
1397.7,1415.19,1393.19,1415.19,208090.53,15917800000.0
1419.44,1440.57,1408.98,1436.86,277925.38,21835636800.0
1429.1,1463.04,1422.44,1461.32,287572.19,21161017600.0
1458.26,1462.41,1446.97,1457.45,228882.56,16836332800.0
1456.33,1463.46,1442.66,1451.15,222247.52,16444678400.0
1446.89,1467.91,1442.82,1442.84,225837.41,16163012800.0
1436.64,1441.67,1422.19,1432.56,191166.08,13967475200.0
1431.48,1454.26,1431.12,1452.37,186315.17,12407477600.0
1453.62,1456.61,1438.93,1445.86,179997.36,12186676800.0
1445.23,1459.69,1445.15,1459.69,186404.37,12583159200.0
1460.41,1479.75,1460.41,1478.47,219919.73,14725564800.0
1436.7,1474.72,1411.92,1428.37,276241.09,19538004800.0
1432.07,1476.84,1432.07,1476.84,275911.3,18089006400.0
1483.11,1512.68,1482.19,1512.29,317667.68,21173667200.0
1512.5,1530.61,1511.15,1530.28,288366.34,19275427200.0
1532.42,1533.69,1508.88,1514.3,275935.23,18471657600.0
1520.02,1548.75,1519.06,1548.02,270396.48,18267070400.0
1548.35,1554.62,1527.09,1549.93,294791.39,20400204800.0
1545.14,1554.35,1534.94,1538.86,252275.98,16807464000.0
1526.15,1536.28,1520.54,1529.38,219873.41,15720123200.0
1531.45,1537.98,1512.39,1512.39,213573.54,15549739200.0
1494.6,1514.5,1489.29,1502.89,189545.58,13373904000.0
1509.75,1533.83,1509.75,1533.22,222717.46,14627625600.0
1536.65,1543.58,1528.19,1529.04,232840.27,15653648000.0
1544.19,1551.59,1526.11,1526.11,271111.42,17634616000.0
1522.81,1526.04,1489.37,1495.26,224832.37,15081438400.0
1491.92,1500.87,1485.95,1489.39,185381.31,12054317600.0
1488.63,1512.49,1488.23,1512.49,166381.54,10833819200.0
1515.17,1534.7,1515.17,1533.32,193548.0,12821672000.0
1534.51,1546.44,1534.23,1544.8,201616.42,13383620000.0
1551.91,1575.37,1551.91,1569.56,260041.1,16696780800.0
1574.08,1600.05,1574.08,1600.05,266324.98,16643604800.0
1606.81,1612.52,1600.96,1610.73,240672.35,14936051200.0
1615.47,1615.47,1593.97,1598.3,244143.55,15271304000.0
1597.24,1614.73,1596.48,1614.71,252743.63,16524577600.0
1614.14,1630.68,1612.63,1630.05,277325.31,18201556800.0
1640.89,1663.65,1637.15,1663.65,373783.62,24196080000.0
1657.84,1668.55,1644.35,1644.99,392286.98,25346462400.0
1645.47,1673.24,1645.47,1673.24,336147.58,21830307200.0
1673.93,1677.89,1663.29,1677.77,355832.9,22419590400.0
1679.94,1682.72,1650.7,1651.77,314927.52,20205864000.0
1643.17,1672.07,1634.57,1672.07,286243.39,18494841600.0
1672.36,1697.51,1671.52,1691.98,312406.18,19523072000.0
1692.28,1696.57,1684.9,1689.15,307062.27,19340096000.0
1692.28,1694.07,1674.07,1684.83,315014.94,19846128000.0
1688.99,1708.08,1688.73,1708.08,287291.97,17914822400.0
1719.68,1760.19,1719.68,1760.19,418529.02,25402662400.0
1769.82,1785.36,1761.01,1781.78,497461.66,31538179200.0
1783.45,1818.38,1779.14,1818.38,486525.15,32214585600.0
1821.43,1827.86,1808.95,1827.86,475854.53,31163833600.0
1829.24,1853.55,1829.24,1852.94,494727.87,29787404800.0
1864.37,1903.65,1864.37,1903.64,546104.77,32282080000.0
1912.47,1923.92,1856.15,1922.85,661351.62,39078534400.0
1923.69,1955.11,1912.56,1943.69,591658.75,33324044800.0
1935.4,1948.18,1897.54,1914.23,560935.3,30785760000.0
1911.88,1938.15,1910.64,1935.59,422710.43,23697584000.0
1939.06,1951.62,1933.38,1948.06,507012.29,29805120000.0
1957.53,1979.23,1950.52,1958.4,553665.73,31772860800.0
1961.14,2009.15,1961.14,2005.67,517514.3,28787561600.0
2018.5,2043.03,2012.82,2043.03,583083.71,32176713600.0
2035.97,2081.59,2027.61,2080.4,602232.96,32623356800.0
2094.42,2124.09,2094.42,2124.09,639256.13,34447696000.0
2132.87,2133.72,2066.2,2109.03,685766.85,36142921600.0
2111.22,2111.22,2026.13,2096.97,648752.45,34615056000.0
2088.15,2153.01,2077.89,2149.11,565353.02,29530790400.0
2160.0,2192.49,2149.37,2187.73,638813.38,33280809600.0
2190.23,2204.44,2163.01,2181.89,614882.75,32690908800.0
2174.49,2174.49,2101.65,2101.65,558136.51,31157417600.0
2076.04,2148.88,2059.13,2126.15,481430.4,25965009600.0
2143.57,2153.15,2126.84,2136.27,588547.07,33430124800.0
2131.92,2144.99,2085.75,2093.71,627495.74,37036940800.0
2096.27,2174.93,2096.27,2174.93,548745.73,30927260800.0
2194.97,2235.56,2194.97,2234.46,651713.09,36390428800.0
2247.33,2269.96,2230.57,2256.98,687742.98,37866377600.0
2236.1,2263.69,2217.24,2256.36,640006.98,35316595200.0
2275.64,2292.74,2251.99,2271.27,636505.41,34525267200.0
2274.07,2275.34,2187.9,2208.56,613771.33,33395286400.0
2202.6,2258.29,2195.22,2254.98,526702.46,27250601600.0
2266.28,2294.02,2266.28,2267.77,546808.26,27631872000.0
2274.99,2287.73,2250.35,2281.66,499171.1,26406179200.0
2280.98,2282.69,2205.44,2217.89,536178.14,30063779200.0
2226.9,2271.47,2194.05,2206.71,516906.43,26659721600.0
2198.13,2210.77,2175.87,2181.3,427043.97,22651329600.0
2206.23,2272.17,2206.23,2272.17,512939.71,25423547200.0
2301.28,2373.94,2290.4,2373.92,668704.38,31739417600.0
2391.31,2426.44,2376.99,2425.9,720769.28,33400096000.0
2414.73,2469.38,2390.15,2445.87,731822.66,34702220800.0
2453.47,2471.35,2434.95,2454.2,696829.18,33796022400.0
2446.79,2464.37,2406.51,2442.76,640341.25,31117136000.0
2443.65,2507.03,2440.87,2501.46,636452.48,29549312000.0
2518.78,2570.53,2500.47,2567.29,699386.75,31803984000.0
2583.56,2661.88,2583.56,2619.32,816056.32,37961328000.0
2636.25,2713.42,2636.25,2713.42,793016.58,35576646400.0
2756.34,2772.49,2685.88,2740.92,953022.02,43612905600.0
2710.73,2788.97,2692.47,2785.07,912116.35,42140537600.0
2802.04,2884.76,2800.82,2884.66,973387.58,44692147200.0
2904.98,2930.31,2842.4,2918.02,991067.26,44479523200.0
2923.87,2967.53,2756.84,2756.93,1113596.03,52204963200.0
2751.38,2841.26,2641.8,2793.25,900657.47,41243724800.0
2818.36,2926.96,2818.36,2926.96,829892.61,36479878400.0
2949.82,3029.98,2936.66,3029.97,930302.4,39649843200.0
3051.33,3065.05,2962.32,3041.41,965762.88,40720172800.0
3043.8,3050.63,2853.89,3023.7,933840.26,40160006400.0
3065.45,3091.42,2991.27,3051.96,1021528.58,44420240000.0
3048.55,3048.55,2959.49,2999.34,953235.84,42082390400.0
2989.27,3025.35,2957.07,2994.85,782703.49,34716844800.0
2979.89,3083.09,2957.11,3055.58,810844.42,35876134400.0
3058.9,3100.94,3049.4,3100.94,821409.98,35108790400.0
3115.85,3156.96,3110.03,3140.66,904844.61,38507196800.0
3151.15,3155.1,3067.97,3073.07,930031.36,40617833600.0
3034.6,3034.6,2937.24,2962.66,805377.47,35302038400.0
2960.47,3030.22,2873.09,3021.4,706310.91,31241916800.0
3016.0,3029.95,2908.51,2913.6,675366.72,28905971200.0
2846.79,2873.67,2736.48,2742.18,601166.85,28964643200.0
2737.09,2774.64,2597.66,2774.64,604701.25,29292774400.0
2799.64,2831.09,2746.91,2822.73,675215.42,33217344000.0
2831.76,2832.43,2684.24,2716.71,684557.18,33171568000.0
2629.51,2632.33,2493.79,2502.96,555137.98,29466585600.0
2547.37,2549.29,2308.97,2351.4,631193.28,35894694400.0
2288.06,2466.44,2201.9,2464.23,721379.01,39954009600.0
2439.09,2523.08,2334.44,2346.13,691162.69,34874211200.0
2333.66,2347.4,2191.58,2215.81,552266.62,32073507200.0
2135.55,2243.57,2060.56,2098.48,505096.51,31553619200.0
2235.98,2235.98,1982.33,2041.85,609083.65,39633798400.0
1970.38,1982.04,1918.82,1932.83,301441.44,22732403200.0
1854.22,1888.19,1851.61,1884.45,414188.22,30732857600.0
1864.69,1955.66,1864.69,1955.35,277580.7,20745452800.0
1991.06,2037.54,1986.31,2035.26,247329.14,15891523200.0
2087.02,2126.44,2071.71,2120.25,391782.59,23384912000.0
2155.69,2200.49,2133.71,2149.52,491957.79,28563513600.0
2158.56,2158.56,2053.75,2058.84,545533.63,34529542400.0
2020.72,2128.9,1971.51,2086.52,508193.54,32429414400.0
2100.16,2204.09,2097.23,2190.42,507932.51,30700764800.0
2208.08,2262.48,2184.2,2230.29,631752.51,35816518400.0
2208.54,2282.49,2187.42,2265.1,560591.87,31241571200.0
2266.61,2296.4,2232.48,2287.98,605120.38,33490892800.0
2292.61,2358.51,2280.72,2352.65,654514.18,36704348800.0
2361.16,2395.97,2306.58,2322.71,744183.1,40085593600.0
2277.62,2340.93,2159.28,2160.09,667694.66,36443904000.0
2059.24,2186.35,2024.31,2111.7,618841.73,37431104000.0
2139.39,2198.82,2062.82,2198.81,523082.53,29648876800.0
2188.0,2229.98,2125.34,2128.16,540745.79,29945852800.0
2096.02,2154.95,2082.45,2110.62,417611.39,23519152000.0
2079.13,2097.37,2020.55,2053.12,402308.96,24373707200.0
2053.06,2150.95,2042.13,2150.95,442429.18,26160070400.0
2148.78,2179.6,2112.06,2128.42,476252.51,27115078400.0
