开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2454.6,2494.92,2444.81,2494.48,25293385200.0,215738.62
2495.0,2507.74,2471.41,2485.61,29503705800.0,258311.92
2477.97,2481.03,2457.05,2478.82,22060761900.0,191924.99
2506.86,2508.77,2472.45,2474.01,21568780000.0,199264.9
2474.18,2477.05,2449.81,2456.37,20106257000.0,174659.49
2452.15,2461.49,2442.71,2450.99,18623577100.0,167069.37
2443.28,2458.32,2437.48,2452.66,16549521300.0,150799.91
2452.64,2488.2,2446.65,2486.79,21223977400.0,197809.79
2505.53,2546.75,2495.52,2532.88,36348583500.0,330291.41
2532.0,2568.38,2527.08,2567.6,31431557200.0,282168.8
2572.65,2605.07,2570.4,2604.35,33712724900.0,316521.26
2615.37,2631.4,2599.11,2630.49,36407571900.0,338960.83
2629.63,2683.18,2622.06,2682.84,46588003500.0,401951.17
2691.73,2720.74,2668.84,2680.16,44679174100.0,401120.19
2667.82,2777.37,2665.69,2763.55,43773338100.0,397238.91
2768.68,2824.18,2733.87,2779.53,56212028100.0,529777.45
2783.47,2900.51,2772.43,2899.46,53268771800.0,509218.57
2926.57,2978.03,2813.05,2937.65,64050029600.0,639191.01
2907.82,3041.66,2879.85,3020.26,58757089000.0,593478.05
2992.49,3091.32,2834.59,2856.27,77199837900.0,793361.28
2855.94,2946.71,2807.68,2940.01,51288691300.0,534989.95
2912.35,2965.68,2892.61,2925.74,48263273300.0,479801.44
2929.36,2962.51,2914.96,2938.17,40948081100.0,420410.25
2921.45,2960.23,2890.9,2953.42,40037169500.0,411487.14
2953.81,3021.9,2943.91,3021.52,45384272300.0,492716.18
3031.95,3076.6,2993.33,3061.02,54250317900.0,580338.6
3062.8,3089.79,3030.32,3057.52,43590495200.0,466524.53
3053.08,3117.53,3018.42,3108.6,52107351100.0,515580.29
3129.27,3189.87,3090.51,3127.45,67937191500.0,624481.48
3085.08,3136.84,3025.67,3032.61,43776240000.0,419467.7
3039.21,3050.51,2934.91,2972.53,37680524600.0,378726.76
2992.46,3073.35,2969.87,3072.54,37694777600.0,379017.7
3078.01,3164.16,3064.18,3157.6,46070093200.0,488915.1
3212.56,3223.86,3126.94,3168.02,51011143900.0,555904.36
3160.8,3190.3,3130.35,3165.82,39772532000.0,437263.25
3172.6,3239.36,3157.26,3234.68,40599852100.0,432319.84
3258.63,3369.28,3253.88,3350.52,53135239100.0,549760.11
3330.8,3394.22,3303.18,3351.45,50166169500.0,532398.46
3326.65,3374.9,3312.21,3373.95,39191888000.0,436416.7
3371.96,3381.57,3285.1,3293.46,37113117000.0,399230.3
3276.97,3404.83,3267.51,3285.41,41024087200.0,458648.01
3258.21,3275.19,3191.58,3229.32,32206467900.0,366273.06
3223.54,3259.39,3214.41,3235.3,23072575400.0,273588.77
3242.34,3268.48,3193.98,3222.44,24019074700.0,267204.53
3224.07,3337.08,3207.55,3336.46,28254624000.0,330610.54
3343.6,3400.32,3340.49,3376.5,33987675300.0,392253.9
3189.73,3262.21,3095.07,3116.35,40109878900.0,409885.99
3114.56,3190.25,3100.48,3173.05,35708081100.0,416295.21
3189.09,3337.0,3178.34,3323.61,41095602400.0,473758.67
3327.32,3352.38,3293.98,3343.34,35338296100.0,407874.07
3357.1,3406.79,3328.29,3351.76,36624924000.0,420979.53
3347.26,3384.8,3321.32,3383.18,31754100700.0,358427.47
3389.85,3390.22,3290.22,3352.96,37451755100.0,418298.87
3325.72,3354.8,3294.66,3305.74,30192709500.0,341564.3
3259.0,3286.79,3234.24,3262.31,27465861300.0,296424.5
3273.75,3288.5,3210.31,3210.36,25831254800.0,284265.65
3148.14,3175.13,3122.57,3128.3,25086162900.0,266849.96
3156.09,3207.94,3129.73,3204.91,24819216400.0,283355.95
3212.82,3238.98,3171.14,3174.13,24909808600.0,290155.15
3251.21,3251.21,3135.82,3136.53,30613930500.0,348266.95
3120.09,3129.54,3052.94,3075.91,24674966600.0,266502.79
3063.51,3119.03,3049.11,3095.12,20610838300.0,240719.68
3090.49,3142.1,3084.25,3141.59,19381713900.0,225084.91
3145.77,3166.42,3139.05,3157.7,17284009400.0,210862.55
3157.96,3181.77,3134.24,3173.42,19459230900.0,229691.58
3186.81,3237.16,3182.79,3203.83,26129043600.0,293017.68
3206.14,3228.85,3195.88,3222.36,22379742900.0,265950.7
3230.88,3255.73,3230.77,3246.91,22833262400.0,263340.05
3256.48,3257.22,3215.55,3228.84,23334809400.0,265143.35
3222.15,3300.62,3202.19,3298.36,30126387500.0,334347.48
3296.83,3324.55,3291.01,3310.3,29916371700.0,335019.57
3332.72,3336.76,3298.67,3336.29,34644567100.0,410259.56
3317.7,3317.7,3260.43,3263.05,38204461900.0,441593.48
3264.18,3286.59,3250.48,3279.53,29363952200.0,346789.77
3264.09,3266.64,3221.67,3248.48,32066358500.0,373580.0
3248.04,3266.93,3234.53,3241.19,28291579100.0,328344.15
3224.31,3307.7,3198.37,3302.41,32149544000.0,359927.52
3289.09,3309.92,3277.1,3286.07,28581757600.0,329955.97
3289.59,3325.05,3278.47,3290.9,28298553500.0,327573.07
3314.81,3360.05,3300.49,3349.32,35729510500.0,407192.39
3359.49,3391.26,3352.15,3372.91,32841015400.0,374041.42
3391.16,3449.31,3377.09,3449.31,39913243000.0,479355.31
3469.6,3504.12,3459.69,3502.85,52093950600.0,601500.66
3510.5,3577.66,3503.85,3577.3,54521714400.0,617366.99
3576.02,3600.68,3546.84,3582.27,53734661400.0,612249.69
3587.08,3632.34,3569.38,3617.32,51666166900.0,651771.98
3640.1,3688.25,3635.49,3687.73,53606283200.0,661574.62
3692.57,3715.87,3600.7,3691.41,63955466900.0,754884.73
3680.95,3693.15,3634.56,3660.73,52188634800.0,645498.92
3641.94,3707.32,3615.01,3682.1,48864720300.0,619515.61
3686.13,3710.48,3656.83,3691.1,40894516500.0,509298.46
3710.61,3795.94,3710.61,3786.57,56470235300.0,692125.35
3822.99,3835.57,3737.04,3747.9,56167603700.0,721294.95
3748.34,3817.08,3742.21,3810.29,44745831900.0,592418.31
3827.69,3835.45,3775.89,3825.78,47929967300.0,632028.91
3803.38,3864.41,3792.21,3863.93,47303331100.0,635651.33
3899.42,3961.67,3891.73,3961.38,57044753500.0,746424.0
3976.53,4000.22,3903.65,3994.81,61808541900.0,839159.31
4006.13,4016.4,3900.03,3957.53,58517682500.0,816710.9
3947.49,4040.35,3929.32,4034.31,48428361900.0,668504.18
4072.72,4128.07,4057.29,4121.72,58981422700.0,781667.35
4125.78,4168.35,4091.26,4135.57,61068354100.0,814645.19
4135.65,4175.49,4069.01,4084.16,61300581200.0,773125.88
4055.92,4195.31,4031.24,4194.82,55124295600.0,712082.44
4254.72,4317.22,4238.91,4287.3,70170620500.0,915633.04
4301.35,4356.0,4190.68,4217.08,85713280700.0,1147600.6
4212.19,4294.38,4188.57,4293.62,63447062700.0,862447.78
4304.6,4400.19,4297.95,4398.49,68030508600.0,976876.96
4414.49,4444.41,4358.84,4414.51,66734466100.0,963024.93
4355.95,4416.38,4318.12,4393.69,62855499600.0,916872.94
4441.93,4529.74,4441.93,4527.4,67108852100.0,975242.09
4527.64,4572.39,4432.9,4476.22,76767641600.0,1061172.12
4446.12,4499.95,4398.64,4476.62,51983420200.0,752401.79
4483.01,4507.34,4441.05,4441.66,52672797500.0,774349.21
4441.34,4487.57,4387.43,4480.46,49417339800.0,717540.81
4479.85,4488.87,4282.24,4298.71,57285859600.0,805566.08
4311.64,4376.35,4187.37,4229.27,48173299300.0,716536.21
4197.9,4213.76,4108.01,4112.21,39456665300.0,540206.29
4152.98,4206.86,4099.04,4205.92,39742809400.0,559648.66
4231.27,4334.88,4187.82,4333.58,48875051500.0,715246.61
4342.37,4402.31,4317.98,4401.22,52186640800.0,793463.72
4402.38,4415.63,4342.48,4375.76,51049047500.0,780754.94
4372.82,4397.75,4329.04,4378.31,44907793500.0,669882.28
4366.82,4366.82,4278.55,4308.69,43970619800.0,665965.62
4277.9,4324.83,4260.51,4283.49,38005745200.0,594559.49
4285.78,4418.4,4285.78,4417.55,43673522400.0,693812.59
4434.98,4520.54,4432.28,4446.29,51410622300.0,806080.53
4456.44,4530.48,4438.26,4529.42,46499652000.0,729080.61
4584.98,4658.27,4562.99,4657.6,65559128700.0,1007173.22
4660.08,4814.67,4656.83,4813.8,68246139100.0,1079295.63
4854.85,4911.69,4779.08,4910.9,70489282900.0,1138509.33
4932.85,4958.16,4857.06,4941.71,68116537900.0,1116261.78
4943.74,4986.5,4614.24,4620.27,78296459200.0,1247926.03
4603.47,4698.19,4431.56,4611.74,61126240900.0,955365.59
4633.1,4829.5,4615.23,4828.74,59338903500.0,934455.5
4844.7,4911.57,4797.55,4910.53,62374809900.0,998745.75
4924.38,4942.07,4822.44,4909.98,61145383900.0,1010179.93
4912.95,4947.97,4647.41,4947.1,67495240200.0,1052270.23
5016.09,5051.63,4898.07,5023.1,77224081200.0,1232300.67
5045.69,5146.95,4997.48,5131.88,85503508500.0,1309924.51
5145.98,5147.45,5042.96,5113.53,72989381800.0,1150808.59
5049.2,5164.16,5001.49,5106.04,59696900100.0,1005432.28
5101.44,5122.46,5050.76,5121.59,56399052200.0,974665.77
5143.34,5178.19,5103.4,5166.35,62562785400.0,1060164.61
5174.42,5176.79,5048.74,5062.99,63780398400.0,1064987.69
5004.41,5029.68,4842.1,4887.43,55080140700.0,895420.56
4890.55,4983.66,4767.22,4967.9,53710116800.0,830266.75
4942.52,4966.77,4780.87,4785.36,50744089900.0,785845.08
4689.93,4744.08,4476.5,4478.36,45268962600.0,685458.2
4471.61,4577.94,4264.77,4576.49,47352612800.0,693617.19
4604.58,4691.77,4552.13,4690.15,54300370900.0,815062.69
4711.76,4720.7,4483.55,4527.78,57279753300.0,865379.73
4399.93,4456.9,4139.53,4192.87,56521787400.0,787835.74
4289.77,4297.47,3875.05,4053.03,67378634900.0,904271.4
4006.75,4279.97,3847.88,4277.22,70917663300.0,941524.66
4214.15,4317.05,4043.37,4053.7,59876942700.0,838070.93
4058.62,4080.39,3795.25,3912.77,58601561200.0,736006.86
3793.71,3927.13,3629.56,3686.92,54816311100.0,648054.1
3975.21,3975.21,3653.04,3775.91,83113928600.0,943420.43
3654.78,3750.57,3585.4,3727.12,69881868800.0,776072.54
3467.4,3599.25,3421.53,3507.19,68035692200.0,700248.34
3432.45,3748.48,3373.54,3709.33,65691461200.0,673310.98
3707.46,3959.22,3677.43,3877.8,58636425500.0,680434.15
3918.99,4030.19,3858.64,3970.39,64348900700.0,782430.54
3958.37,4035.43,3855.56,3924.49,67055879900.0,830074.68
3874.97,3914.27,3741.25,3805.7,60130132400.0,700536.52
3758.5,3877.51,3688.44,3823.18,49225620000.0,569858.94
3831.42,3994.48,3814.15,3957.35,48172626800.0,593066.98
3948.42,4021.33,3927.12,3992.11,53910671400.0,688255.57
3939.9,4041.82,3912.8,4017.67,50428802800.0,646416.85
3996.43,4042.34,3960.86,4026.05,52073222500.0,678831.92
4022.27,4132.61,4019.04,4123.92,56358596600.0,743531.87
4124.75,4184.45,4044.83,4070.91,62742486000.0,843022.07
3985.57,4051.16,3720.44,3725.56,55600324700.0,721298.09
3573.14,3762.53,3537.36,3663.0,56333004200.0,685057.52
3689.82,3792.07,3612.06,3789.17,43435208500.0,557491.96
3773.79,3844.37,3685.96,3705.77,45794322800.0,615977.92
3655.67,3729.51,3620.17,3663.73,35095574500.0,460472.25
3614.99,3648.94,3549.5,3622.91,36396873100.0,445991.59
3621.85,3757.03,3601.29,3756.54,36290166600.0,464036.24
3745.65,3782.35,3676.39,3694.57,36642297900.0,483850.28
3625.5,3710.57,3614.74,3661.54,27407466300.0,357515.15
3692.61,3756.74,3686.3,3744.2,34075718400.0,445485.03
3786.03,3943.62,3775.85,3928.42,49730431900.0,652622.01
3928.81,3970.34,3891.18,3927.91,53892346000.0,712289.93
3881.23,3937.77,3871.14,3886.32,44268827800.0,597050.26
3869.91,3955.79,3838.16,3954.56,43007330300.0,578685.52
3976.41,4000.68,3939.84,3965.33,46798821700.0,647466.47
3947.84,3994.54,3907.4,3993.67,46043206000.0,626327.68
3999.13,4006.34,3743.39,3748.16,54377082200.0,722467.25
3646.8,3811.43,3558.38,3794.11,47539623900.0,599513.28
3754.57,3788.01,3663.61,3664.29,39006305700.0,501194.99
3609.96,3652.84,3490.54,3507.74,36992047900.0,450616.49
3373.48,3388.36,3191.88,3209.91,33467179200.0,358818.88
3004.13,3123.03,2947.94,2964.97,35232511000.0,358735.78
2980.79,3092.04,2850.71,2927.29,46669966300.0,461788.98
2978.03,3085.42,2906.49,3083.59,40030839800.0,404289.31
3125.26,3235.84,3102.95,3232.35,44313692800.0,474631.02
3203.56,3207.86,3109.16,3205.99,39743138200.0,431068.6
3157.83,3180.33,3053.74,3166.62,43243246800.0,420411.62
3027.68,3194.48,3019.09,3160.17,43817015300.0,423262.36
3149.38,3217.58,3066.3,3080.42,29646811400.0,302689.72
3054.44,3174.71,3011.12,3170.45,25541546500.0,263910.38
3182.55,3256.74,3165.7,3243.09,37532797800.0,412991.43
3190.55,3243.28,3178.9,3197.89,27326175900.0,299581.09
3189.48,3223.76,3163.45,3200.23,22455782200.0,252769.47
3221.17,3229.48,3049.23,3114.8,34663115800.0,373576.8
3043.8,3081.7,2983.92,3005.17,24919444500.0,243904.59
2998.04,3182.93,2983.54,3152.26,27752452400.0,281992.26
3131.98,3204.7,3085.31,3086.06,31760289200.0,337393.27
3100.28,3122.05,3070.34,3097.92,20917539800.0,218442.43
3072.09,3159.88,3060.86,3156.54,23989735400.0,259796.67
3161.32,3213.48,3152.48,3185.62,27478615400.0,305071.32
3137.72,3164.04,3104.74,3115.89,23632267000.0,257560.04
3126.49,3151.16,3109.69,3142.69,21288772300.0,231369.05
3130.85,3149.95,3063.0,3092.35,23626387100.0,248971.12
3085.57,3103.07,3042.31,3100.76,15672753000.0,166422.39
3055.22,3068.3,3021.16,3038.14,16322267300.0,169686.6
3052.84,3073.3,3039.74,3052.78,14664244900.0,156569.2
3156.07,3172.28,3133.13,3143.36,23427605000.0,258830.34
3146.64,3192.72,3137.79,3183.15,23485144500.0,256379.11
3193.54,3318.71,3188.41,3287.66,38629471500.0,435541.02
3262.16,3298.63,3253.25,3293.23,29715313300.0,334806.1
3280.02,3307.32,3256.25,3262.44,29507773900.0,330277.52
3255.03,3338.3,3254.39,3338.07,31628385100.0,362565.55
3358.3,3393.02,3334.85,3391.35,39546057500.0,459447.81
3401.63,3423.4,3355.57,3386.7,37811218300.0,453303.63
3377.55,3425.52,3357.86,3425.33,31897375800.0,383582.52
3428.56,3447.26,3265.44,3320.68,45845542800.0,518509.23
3292.29,3373.78,3282.99,3368.74,32373934100.0,375452.02
3377.55,3422.02,3360.22,3412.43,34737285400.0,425263.09
3448.65,3457.52,3402.0,3429.58,36556085300.0,453942.51
3409.14,3441.57,3332.62,3434.34,32817276800.0,408887.23
3417.01,3439.76,3367.23,3375.2,29352328400.0,361656.19
3387.77,3411.71,3362.51,3387.32,23567602600.0,294508.41
3380.28,3417.2,3346.59,3382.56,24359511800.0,307266.77
3337.58,3391.06,3322.31,3325.08,23095112900.0,286019.33
3330.32,3346.27,3302.18,3316.7,19289742800.0,244360.57
3325.62,3459.65,3325.62,3459.64,33907873000.0,426104.39
3459.22,3585.66,3455.53,3522.82,55325494700.0,678674.61
3514.44,3596.38,3508.83,3590.03,42916703300.0,543282.2
3588.5,3673.76,3588.5,3646.88,50301668200.0,636184.06
3617.4,3669.53,3607.89,3640.49,42974657600.0,560055.12
3635.0,3654.88,3605.62,3650.25,36097265100.0,467822.21
3656.82,3659.31,3603.23,3632.9,36171760000.0,482832.63
3600.76,3632.56,3564.81,3580.84,34587093300.0,468668.66
3522.46,3607.61,3519.42,3606.96,27618705700.0,369421.83
3629.98,3678.27,3598.07,3604.8,38357546800.0,521520.36
3605.06,3617.07,3558.7,3568.47,29758073400.0,392338.75
3573.78,3618.21,3561.04,3617.06,24791557600.0,328442.61
3620.79,3640.53,3607.92,3630.5,31080197200.0,413910.91
3630.87,3654.75,3598.87,3610.32,31599747400.0,414148.23
3602.89,3616.48,3563.1,3616.11,24881052400.0,327758.5
3614.07,3648.37,3607.52,3647.93,27302485700.0,380802.94
3659.57,3668.38,3629.86,3635.55,30676158200.0,426247.41
3616.54,3621.9,3412.43,3436.3,35428752500.0,464311.25
3433.86,3470.37,3327.81,3445.4,30419790300.0,387503.65
3442.44,3483.41,3417.55,3456.31,25239075500.0,330256.75
3450.28,3538.85,3427.66,3536.91,30149148000.0,369183.04
3525.73,3591.73,3517.23,3584.82,28111125500.0,338859.09
3558.15,3568.97,3510.41,3524.99,25173641100.0,319766.84
3529.81,3543.95,3506.62,3536.93,20830257900.0,280561.59
3518.65,3518.65,3466.79,3470.07,22436731000.0,297821.73
3462.58,3495.7,3454.88,3472.44,19569884500.0,267854.87
3469.81,3503.65,3446.27,3455.5,20042751700.0,279499.71
3441.6,3455.55,3410.92,3434.58,18290887800.0,245076.42
3403.51,3521.78,3399.28,3520.67,21537462000.0,279213.53
3518.13,3529.96,3496.85,3510.35,20047134100.0,276274.95
3522.09,3538.69,3506.29,3516.19,19348231000.0,265288.65
3533.63,3583.41,3533.63,3580.0,28385647600.0,381439.61
3574.94,3614.7,3568.16,3578.96,27370790400.0,365385.81
3568.58,3651.06,3565.75,3642.47,29984928000.0,398316.97
3645.99,3652.64,3616.87,3651.77,26117876300.0,360846.04
3653.28,3684.57,3633.03,3636.09,29820180100.0,419902.93
3631.31,3640.22,3572.28,3612.49,22778522500.0,315421.25
3614.05,3635.26,3601.74,3627.91,19845111100.0,274660.04
3635.77,3641.59,3533.78,3533.78,26998327800.0,369042.82
3528.4,3564.17,3515.52,3563.74,18255192300.0,250938.91
3566.73,3573.68,3538.11,3572.88,18788960900.0,267787.67
3570.47,3580.6,3538.35,3539.18,17696365900.0,254031.07
3536.59,3538.69,3295.74,3296.26,18441842300.0,240929.16
3196.65,3328.14,3189.61,3287.71,26688208300.0,328417.23
3291.2,3362.97,3288.93,3361.84,23888667000.0,285243.22
3309.66,3309.66,3115.89,3125.0,7056912300.0,79981.99
3194.63,3235.45,3056.88,3186.41,28644082200.0,324167.14
3131.85,3166.22,3016.7,3016.7,27164369100.0,286379.63
3026.16,3047.66,2978.46,3022.86,20765962200.0,224135.43
3041.11,3059.02,2949.29,2949.6,19428210600.0,208376.04
2874.05,3012.29,2867.55,3007.65,21290564400.0,218013.66
2988.05,3001.71,2883.87,2900.97,19872169700.0,206603.97
2847.54,2945.45,2844.7,2913.84,16469969400.0,173619.96
2914.41,3012.07,2906.4,3007.74,20527970300.0,222674.8
2993.01,3016.28,2951.92,2976.69,21650547400.0,234562.92
2934.39,2998.79,2880.09,2880.48,19167566800.0,203634.57
2911.11,2931.36,2851.73,2916.56,15981073400.0,170062.25
2934.08,2955.78,2911.83,2938.52,15303905700.0,164023.4
2907.72,2911.99,2743.84,2749.79,21083605400.0,212608.15
2756.08,2768.77,2638.3,2735.56,21572204600.0,207426.68
2711.16,2740.54,2647.49,2655.66,17112028000.0,167357.41
2652.85,2755.37,2649.79,2737.6,18667310600.0,180006.81
2730.98,2735.26,2655.62,2688.85,15638374400.0,152830.74
2687.98,2755.16,2687.98,2749.57,15807821100.0,158936.8
2719.57,2746.07,2696.88,2739.25,14839721700.0,146627.12
2751.43,2793.3,2751.31,2781.02,17038201800.0,175347.39
2783.08,2790.06,2762.16,2763.49,14118628400.0,145553.63
2684.96,2760.36,2682.09,2746.2,12926393200.0,129321.06
2758.58,2840.62,2758.58,2836.57,19596161400.0,198969.13
2829.76,2868.7,2824.36,2867.34,21690992500.0,225964.25
2881.78,2893.22,2857.7,2862.89,21920387300.0,230775.05
2854.9,2872.72,2840.49,2860.02,16339141300.0,178424.85
2888.6,2933.96,2880.35,2927.18,23217604200.0,238682.82
2925.71,2928.05,2872.28,2903.33,19974066300.0,211548.95
2889.89,2929.87,2872.27,2928.9,21341038400.0,227851.64
2922.24,2922.24,2729.85,2741.25,27028441600.0,271767.14
2760.06,2784.75,2715.87,2767.21,19111047200.0,190068.99
2754.81,2755.89,2638.96,2687.98,20741070900.0,194640.2
2688.38,2747.56,2668.76,2733.17,18720744300.0,182185.54
2733.77,2852.7,2732.54,2849.68,27096178300.0,259318.77
2847.33,2878.45,2840.87,2859.76,28747821000.0,279971.94
2848.54,2880.37,2808.85,2874.15,31249516900.0,294982.11
2886.64,2911.84,2871.35,2897.34,21746683600.0,208559.32
2895.67,2902.62,2802.56,2901.39,23348266100.0,220513.95
2839.41,2863.02,2811.72,2862.56,18335538300.0,177072.56
2847.57,2863.18,2803.48,2804.73,13897946100.0,141812.41
2781.6,2815.61,2772.55,2810.31,12724755400.0,128450.31
2830.08,2889.82,2823.03,2859.5,19481603000.0,202793.15
2853.98,2865.79,2819.8,2864.37,16338666700.0,170219.52
2858.71,2881.53,2854.19,2870.43,18649253500.0,190193.86
2875.41,2921.0,2857.19,2904.83,20029021300.0,213843.63
2915.52,2971.55,2908.74,2955.15,31333273500.0,328241.16
2978.46,3028.32,2973.76,3018.8,35240043800.0,380823.08
3001.63,3019.1,2988.43,2999.36,27037732200.0,311025.32
2991.17,3012.56,2980.86,3009.96,21697746200.0,256328.16
2986.8,2998.15,2960.54,2960.97,23700640300.0,274795.13
2956.2,2981.41,2952.11,2979.43,17507434400.0,200818.44
2988.01,3008.17,2948.53,2957.82,20202124100.0,232323.73
