shanghai,shenzhen
3183.15,2268.62
3287.66,2300.09
3293.23,2343.62
3262.44,2325.69
3338.07,2184.11
3391.35,2203.61
3386.7,2198.28
3425.33,2189.31
3320.68,2243.94
3368.74,2233.26
3412.43,2261.41
3429.58,2221.27
3434.34,2214.21
3375.2,2211.86
3387.32,2195.86
3382.56,2239.68
3325.08,2264.72
3316.7,2280.12
3459.64,2342.18
3522.82,2335.6
3590.03,2357.99
3646.88,2379.63
3640.49,2351.06
3650.25,2346.37
3632.9,2359.73
3580.84,2308.38
3606.96,2330.35
3604.8,2351.35
3568.47,2308.91
3617.06,2119.16
3630.5,2079.77
3610.32,2133.96
3616.11,1958.09
3647.93,1978.72
3635.55,1848.1
3436.3,1855.39
3445.4,1791.18
3456.31,1859.37
3536.91,1796.13
3584.82,1830.33
3524.99,1895.75
3536.93,1876.31
3470.07,1800.99
3472.44,1827.34
3455.5,1845.78
3434.58,1714.42
3520.67,1700.15
3510.35,1629.06
3516.19,1689.43
3580.0,1671.91
3578.96,1729.09
3642.47,1737.2
3651.77,1771.07
3636.09,1750.7
3612.49,1750.02
3627.91,1821.71
3533.78,1847.65
3563.74,1841.42
3572.88,1850.51
3539.18,1888.18
3296.26,1877.19
3287.71,1876.47
3361.84,1738.67
3125.0,1736.54
3186.41,1643.35
3016.7,1681.47
3022.86,1760.58
2949.6,1758.13
3007.65,1706.97
2900.97,1741.65
2913.84,1750.54
3007.74,1713.44
2976.69,1688.97
2880.48,1685.24
2916.56,1745.29
2938.52,1729.08
2749.79,1711.46
2735.56,1772.43
2655.66,1837.21
2737.6,1886.37
2688.85,1880.78
2749.57,1902.53
2739.25,1876.11
2781.02,1885.18
2763.49,1874.66
2746.2,1840.51
2836.57,1906.77
2867.34,1912.21
2862.89,1901.52
2860.02,1951.1
2927.18,1961.71
2903.33,1930.26
2928.9,1914.32
2741.25,1952.48
2767.21,1935.6
2687.98,1962.43
2733.17,1982.45
2849.68,1978.58
2859.76,1952.41
2874.15,1958.2
2897.34,1871.51
2901.39,1848.53
2862.56,1867.56
2804.73,1859.9
2810.31,1881.99
2859.5,1876.51
2864.37,1874.31
2870.43,1873.99
2904.83,1929.03
2955.15,1928.63
3018.8,1942.54
2999.36,1871.61
3009.96,1804.34
2960.97,1802.27
2979.43,1791.06
2957.82,1790.03
2919.83,1784.33
3000.65,1815.03
3003.92,1814.68
3009.53,1766.08
3053.07,1775.88
3050.59,1794.95
3008.42,1820.99
2984.96,1804.6
3033.96,1800.23
3023.65,1808.93
3066.64,1807.04
3082.36,1798.77
3078.12,1872.36
3033.66,1886.51
3042.82,1904.74
2972.58,1914.81
2952.89,1920.12
2959.24,1924.88
2946.67,1918.62
2964.7,1827.36
2953.67,1832.63
2945.59,1889.87
2938.32,1885.44
2992.64,1900.73
2991.27,1909.12
2997.84,1889.71
2913.25,1921.38
2832.11,1915.21
2832.59,1900.6
2837.04,1946.7
2835.86,1970.38
2827.11,1973.34
2850.86,1974.24
2843.68,1970.72
2807.51,2001.69
2806.91,2006.38
2825.48,2015.17
2843.65,2015.15
2821.67,2012.29
2815.09,2000.98
2822.44,2025.02
2821.05,2041.66
2822.45,2044.93
2916.62,2038.73
2913.51,2027.88
2925.23,2034.45
2938.68,2035.85
2934.1,2038.18
2936.05,2019.57
2927.16,2019.81
2833.07,2044.96
2842.19,1953.99
2887.21,1950.99
2872.82,1941.56
2885.11,1912.65
2888.81,1926.69
2878.56,1934.81
2905.55,1948.91
2891.96,1941.61
2854.29,1962.26
2895.7,1982.66
2912.56,1976.16
2931.59,1950.92
2929.61,1973.67
2932.48,2023.24
2988.6,2036.8
3006.39,2043.27
3017.29,2042.22
3016.85,2044.7
2988.09,2018.66
2994.92,2024.05
3049.38,2030.28
3060.69,2019.02
3054.02,2023.09
3054.3,2027.15
3043.56,2028.36
3036.6,2032.87
3027.9,2017.46
3039.01,2009.29
3012.82,2018.1
3015.83,2048.19
3050.17,2044.55
2992.0,2050.08
2994.32,2035.02
2979.34,1977.06
2953.39,1989.33
2971.28,1980.25
2978.46,2001.29
2982.43,2000.06
2976.7,2005.59
3004.28,2018.16
3025.68,2008.12
3018.75,1966.6
3002.64,1981.26
3050.67,1978.3
3125.2,1985.92
3110.04,1995.61
3109.56,2033.38
3104.11,2043.69
3108.1,2047.12
3084.81,2049.31
3089.71,2046.74
3085.88,2027.56
3068.33,2056.59
3070.31,2053.79
3070.03,2060.39
3074.68,2052.56
3085.49,2070.21
3063.31,2077.75
3067.35,2069.36
3072.1,2068.09
3090.71,2052.01
3091.93,2050.28
3095.95,2073.11
3078.86,2060.05
3021.98,2071.59
3023.51,2067.15
3002.85,2066.81
3026.05,2080.44
3023.0,2068.47
3025.87,2096.89
3042.31,2108.03
3033.9,2114.3
2980.43,2124.4
2998.17,2124.85
2987.86,2116.86
2998.48,2111.28
3004.7,2118.94
3048.14,2137.88
3065.25,2129.51
3058.5,2121.49
3061.35,2129.84
3063.81,2126.82
3041.17,2110.36
3083.88,2106.91
3084.72,2119.69
3084.46,2084.49
3090.94,2068.17
3128.25,2071.44
3131.94,2090.33
3116.31,2077.37
3112.35,2070.01
3104.27,1969.32
3100.49,1975.88
3122.44,1959.86
3102.73,1972.91
3128.94,1991.64
3125.32,1984.1
3133.33,1981.32
3147.89,1996.03
3128.37,1993.37
3171.28,1971.06
3196.04,1978.37
3210.37,1979.73
3206.99,1972.35
3205.06,1966.24
3208.45,1969.11
3192.86,1985.95
3218.15,2008.79
3248.35,2005.58
3241.14,1988.13
3241.74,1994.15
3261.94,1989.29
3277.0,1968.43
3282.92,1951.31
3250.03,1921.0
3273.31,1851.41
3243.84,1873.02
3204.71,1864.59
3199.65,1857.46
3222.24,1885.77
3215.37,1902.14
3232.88,1896.45
3152.97,1904.04
3155.04,1917.32
3140.53,1909.79
3117.68,1927.57
3122.98,1927.17
3118.08,1941.79
3102.88,1954.62
3137.43,1950.32
3139.56,1964.75
3110.15,1964.32
3122.57,1947.04
3114.66,1958.12
3102.24,1945.11
3096.1,1962.53
3103.64,1981.14
3135.92,1990.34
3158.79,1991.98
3165.41,2000.38
3154.32,1988.77
3171.24,2001.32
3161.67,2008.87
3136.75,1997.72
3119.29,2001.91
3112.76,2025.54
3103.43,2031.63
3108.77,2024.28
3113.01,2009.55
3101.3,2013.64
3123.14,2029.89
3136.77,2027.11
3142.55,2026.76
3149.55,2046.31
3159.17,2029.73
3140.17,2036.05
3156.98,2043.94
3153.09,2037.89
3166.98,2038.6
3183.18,2046.74
3196.7,2039.41
3216.84,2034.22
3217.93,2019.39
3212.99,1979.58
3229.62,1986.47
3202.08,2023.2
3239.96,2029.21
3253.33,2028.33
3261.22,2008.5
3251.38,2022.38
3253.43,2007.0
3228.66,2014.67
3241.73,1986.65
3246.93,1958.55
3230.03,1946.42
3218.31,1932.46
3233.87,1928.78
3242.41,1920.22
3240.66,1873.37
3216.75,1882.86
3212.76,1889.79
3237.02,1900.03
3239.33,1906.92
3241.76,1906.88
3268.94,1901.75
3237.45,1896.36
3250.81,1872.79
3261.61,1835.59
3245.22,1847.64
3248.55,1822.56
3269.45,1819.15
3266.96,1820.2
3252.95,1827.02
3241.31,1865.27
3210.24,1867.68
3222.51,1855.99
3270.31,1853.71
3281.0,1828.22
3286.62,1789.47
3269.39,1798.87
3288.97,1811.9
3273.83,1810.11
3275.96,1808.3
3246.07,1773.61
3222.17,1788.6
3196.71,1800.93
3170.69,1810.8
3172.1,1850.53
3173.15,1852.86
3129.53,1857.17
3134.57,1836.76
3140.85,1859.88
3152.19,1852.79
3154.66,1869.71
3143.71,1866.05
3135.35,1876.85
3127.37,1879.06
3103.04,1887.19
3078.61,1862.84
3080.53,1871.34
3052.79,1896.79
3061.5,1898.54
3083.51,1883.37
3090.23,1892.27
3112.96,1897.69
3104.44,1905.2
3090.14,1896.53
3090.63,1913.14
3075.68,1914.59
3061.95,1918.13
3064.08,1905.37
3107.83,1891.6
3110.06,1889.45
3117.18,1888.7
3102.62,1881.01
3105.54,1800.54
3091.66,1811.33
3102.13,1839.06
3140.32,1847.97
3150.33,1845.81
3158.4,1854.67
3139.88,1848.59
3153.74,1843.12
3130.67,1865.96
3132.49,1868.37
3123.17,1879.1
3144.37,1882.47
3140.01,1869.32
3156.21,1869.21
3147.45,1858.49
3157.87,1872.29
3185.44,1879.16
3191.2,1885.55
3173.2,1872.6
3188.06,1842.6
3192.43,1879.77
3195.91,1887.28
3182.8,1898.39
3207.13,1909.38
3212.44,1902.25
3217.96,1916.42
3212.63,1908.32
3203.04,1902.0
3197.54,1890.48
3218.16,1910.13
3222.42,1936.76
3176.46,1932.06
3187.57,1938.9
3230.98,1944.94
3244.86,1956.35
3237.98,1968.12
3250.6,1972.14
3243.69,1979.53
3247.67,1972.74
3249.78,1975.87
3253.24,1991.73
3273.03,1986.21
3292.64,1994.98
3285.06,1993.53
3272.93,1987.98
3262.08,2002.74
3279.46,1995.6
3281.87,2012.23
3275.57,1995.42
3261.75,1988.59
3208.54,1963.9
3237.36,1964.03
3251.26,1979.28
3246.45,1974.78
3268.43,1988.49
3268.72,2014.43
3286.91,2030.18
3290.23,2026.47
3287.7,2023.36
3271.51,2036.81
3331.52,2005.95
3362.65,2008.06
3365.23,2000.11
3363.63,1983.72
3360.81,1999.68
3367.12,2012.05
3379.58,2009.65
3384.32,2025.32
3385.39,2030.35
3365.5,2023.5
3365.24,1988.48
3376.42,2002.28
3379.49,2003.44
3384.15,1989.98
3371.43,1975.92
3353.62,1999.3
3362.86,2012.72
3356.84,2013.71
3366.0,2028.69
3357.81,2039.17
3352.53,2045.18
3341.55,2025.78
3343.58,2005.61
3345.27,2010.13
3339.64,1954.3
3348.94,1971.93
3374.38,1987.45
3382.99,1982.28
3388.28,1924.45
3386.1,1922.72
3390.52,1892.82
3378.47,1918.32
3372.04,1919.06
3381.79,1901.86
3370.17,1916.8
3378.65,1902.91
3380.7,1866.98
3388.25,1879.65
3396.9,1868.42
3407.57,1891.51
3416.81,1919.69
3390.34,1901.09
3393.34,1915.77
3395.91,1915.0
3383.31,1901.2
3371.74,1889.13
3388.17,1905.62
3413.57,1891.52
3415.46,1905.05
3427.79,1901.56
3432.67,1883.89
3447.84,1892.02
3429.55,1878.8
3402.52,1887.34
3399.25,1899.34
3382.91,1919.2
3392.4,1934.0
3410.5,1940.96
3430.46,1941.8
3351.92,1945.98
3353.82,1952.18
3322.23,1945.66
3333.66,1953.12
3337.86,1948.93
3317.19,1913.77
3317.62,1927.56
3309.62,1921.74
3303.68,1924.2
3293.96,1921.54
3272.05,1943.91
3289.99,1950.99
3322.2,1960.93
3280.81,1953.3
3303.04,1950.21
3292.44,1919.8
3266.14,1909.57
3267.92,1877.82
3296.54,1821.06
3287.61,1821.53
3300.06,1806.3
3297.06,1726.09
3280.46,1714.39
3306.12,1734.57
3275.78,1679.26
3296.38,1723.73
3307.17,1730.83
3348.33,1739.15
3369.11,1771.97
3385.71,1775.17
3391.75,1815.02
3409.48,1808.92
3413.9,1811.78
3421.83,1834.01
3425.34,1822.21
3428.94,1830.84
3410.49,1852.22
3436.59,1837.87
3444.67,1856.47
3474.75,1885.38
3487.86,1908.84
3501.36,1895.31
3546.5,1878.51
3559.47,1874.41
3548.31,1863.03
3558.13,1868.05
3523.0,1872.33
3488.01,1858.61
3480.83,1849.6
3446.98,1766.61
3462.08,1790.35
3487.5,1829.69
3370.65,1812.36
3309.26,1830.09
3262.05,1853.72
3129.85,1856.66
3154.13,1842.23
3184.96,1831.7
3199.16,1831.83
3268.56,1841.22
3289.02,1850.97
3329.57,1840.27
3292.07,1834.38
3259.41,1824.77
3273.75,1784.56
3254.53,1803.84
3256.93,1814.64
3289.64,1778.34
3271.67,1764.2
3288.41,1804.41
3307.17,1809.26
3326.7,1770.4
3310.24,1776.13
3291.38,1774.9
3291.11,1792.89
3269.88,1789.07
3279.25,1822.18
3290.64,1834.56
3280.95,1834.56
3263.48,1844.04
3152.76,1825.14
3133.72,1823.25
3166.65,1839.88
3122.29,1832.27
3160.53,1822.7
3168.9,1828.79
3163.18,1848.06
3136.63,1855.16
3131.11,1834.72
3138.29,1827.05
3190.32,1810.03
3208.08,1806.08
3180.16,1786.71
3159.05,1736.34
3110.65,1767.55
3066.8,1746.33
3091.4,1747.96
3117.38,1777.73
3071.54,1779.15
3068.01,1767.96
3128.93,1751.4
3117.97,1741.18
3075.03,1759.16
3082.23,1731.43
3081.18,1721.89
3100.86,1691.65
3091.03,1594.05
3136.64,1612.6
3161.5,1578.33
3159.15,1597.39
3174.41,1587.31
3163.26,1596.17
3174.03,1575.57
3192.12,1556.82
3169.57,1607.62
3154.28,1582.26
3193.3,1594.24
3213.84,1563.0
3214.35,1528.67
3168.96,1535.98
3154.65,1574.54
3141.3,1585.78
3135.08,1554.62
3120.46,1597.17
3041.44,1604.45
3095.47,1602.84
3075.14,1600.08
3091.19,1588.12
3114.21,1575.58
3115.18,1593.3
3109.5,1601.69
3067.15,1625.84
3052.78,1624.72
3079.8,1609.73
3049.8,1599.08
3044.16,1576.79
3021.9,1576.41
2907.82,1549.28
2915.73,1512.05
2875.81,1486.06
2889.76,1455.09
2859.34,1495.05
2844.51,1466.7
2813.18,1505.64
2786.9,1515.96
2847.42,1520.71
2775.56,1513.9
2786.89,1481.82
2759.13,1467.12
2733.88,1442.38
2747.23,1451.07
2815.11,1471.28
2827.63,1454.52
2777.77,1463.69
2837.66,1460.33
2831.18,1496.71
2814.04,1497.7
2798.13,1489.29
2787.26,1467.18
2772.55,1451.38
2829.27,1448.93
2859.54,1465.79
2905.56,1442.25
2903.65,1431.86
2882.23,1433.36
2873.59,1406.92
2869.05,1409.34
2876.4,1403.6
2824.53,1413.57
2768.02,1402.51
2740.44,1380.98
2705.16,1404.15
2779.37,1423.22
2744.07,1420.02
2794.38,1445.11
2795.31,1437.31
2785.87,1447.85
2780.96,1429.61
2723.26,1441.54
2705.19,1386.28
2668.97,1385.09
2698.47,1383.05
2733.83,1293.9
2714.61,1296.36
2724.62,1281.08
2729.43,1256.37
2780.9,1266.55
2777.98,1232.01
2769.29,1263.81
2737.74,1325.73
2725.25,1300.29
2720.73,1297.22
