代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
000001.SH,上证指数,1997/12/11,1159.05,1159.75,1145.55,1159.17,231763600,2515.72
000001.SH,上证指数,1997/12/12,1160.22,1165.81,1153.43,1153.84,257110100,2832.87
000001.SH,上证指数,1997/12/15,1155.72,1168.06,1155.6,1168.03,316617600,3320.92
000001.SH,上证指数,1997/12/16,1170.46,1174.81,1165.6,1174.8,333919400,3758.27
000001.SH,上证指数,1997/12/17,1169.64,1169.74,1145.89,1146.52,332345800,3647.48
000001.SH,上证指数,1997/12/18,1142.1,1159.11,1138.4,1154.17,304900900,3185.97
000001.SH,上证指数,1997/12/19,1154.7,1161.88,1151.14,1160.77,324467000,3346.95
000001.SH,上证指数,1997/12/22,1162.68,1169.03,1153.44,1169.01,423341500,4923.25
000001.SH,上证指数,1997/12/23,1171.9,1176.92,1165.06,1171.25,331363400,3795.48
000001.SH,上证指数,1997/12/24,1171.74,1173.54,1164.86,1169.66,317898800,3355.95
000001.SH,上证指数,1997/12/25,1170.56,1181.48,1169.99,1181.28,359840100,4117.57
000001.SH,上证指数,1997/12/26,1187.75,1194.24,1186.53,1191.92,419291800,4857.85
000001.SH,上证指数,1997/12/29,1196.3,1198.97,1185.66,1186.61,367021000,3902.57
000001.SH,上证指数,1997/12/30,1186.14,1193.62,1179.56,1181.14,279294000,2955.96
000001.SH,上证指数,1997/12/31,1182.25,1195.05,1182.25,1194.1,309325000,3585.28
000001.SH,上证指数,1998/1/5,1200.95,1220.5,1200.22,1220.47,437153200,5363.53
000001.SH,上证指数,1998/1/6,1223.73,1233.64,1215.41,1233.62,514866400,6196.19
000001.SH,上证指数,1998/1/7,1233.96,1244.1,1231.15,1244.07,575655700,6276.87
000001.SH,上证指数,1998/1/8,1243.12,1250.01,1235.89,1237.16,406947200,4535.35
000001.SH,上证指数,1998/1/9,1233.7,1245,1221.3,1239.9,535709600,6395.91
000001.SH,上证指数,1998/1/12,1242.21,1246.65,1226.4,1226.97,573968900,6646.77
000001.SH,上证指数,1998/1/13,1211.88,1211.88,1110.09,1167.65,719443500,8983.54
000001.SH,上证指数,1998/1/14,1170.35,1203.25,1170.32,1202.22,570380000,6237.85
000001.SH,上证指数,1998/1/15,1210.42,1217.86,1196.15,1215.43,553925500,5643.74
000001.SH,上证指数,1998/1/16,1215.82,1220.97,1207.92,1213.96,412032600,4534.91
000001.SH,上证指数,1998/1/19,1215.41,1216.99,1205.48,1213.13,326203800,3662.32
000001.SH,上证指数,1998/1/20,1211.28,1215.57,1195.38,1203.72,312937800,3443.18
000001.SH,上证指数,1998/1/21,1201.99,1209.69,1198.23,1200.2,303297200,2739.04
000001.SH,上证指数,1998/1/22,1200.52,1207.45,1194.38,1204.43,436125400,4027.8
000001.SH,上证指数,1998/1/23,1206.5,1224.12,1206.45,1222.91,358068400,3378.71
000001.SH,上证指数,1998/2/9,1258,1262.62,1244.43,1248.04,435858400,4617.53
000001.SH,上证指数,1998/2/10,1248.6,1248.6,1233.7,1236.51,532456300,4834.39
000001.SH,上证指数,1998/2/11,1234.18,1251.45,1233.53,1250.24,481552000,4262.61
000001.SH,上证指数,1998/2/12,1253.39,1254.41,1242,1246.3,474907700,4545.82
000001.SH,上证指数,1998/2/13,1246.73,1251.91,1241.82,1245.91,409773500,4452.57
000001.SH,上证指数,1998/2/16,1246.8,1247.97,1230.92,1236.24,461535800,4970.76
000001.SH,上证指数,1998/2/17,1234.84,1240.58,1228.11,1238.5,352585900,3717.91
000001.SH,上证指数,1998/2/18,1239.63,1240.18,1225.5,1229.83,461406700,4675.45
000001.SH,上证指数,1998/2/19,1229.81,1235.49,1223.93,1232.58,330071400,3345.37
000001.SH,上证指数,1998/2/20,1234.6,1237.92,1224.58,1226.02,315923400,3200.61
000001.SH,上证指数,1998/2/23,1217.86,1217.86,1195.89,1208.6,380753300,3921.52
000001.SH,上证指数,1998/2/24,1206.93,1216.35,1206.09,1208.22,352668400,3246.04
000001.SH,上证指数,1998/2/25,1208.52,1209.49,1191.75,1194.67,342846700,3325.57
000001.SH,上证指数,1998/2/26,1193,1206.67,1189.52,1206.67,314777500,3223.86
000001.SH,上证指数,1998/2/27,1209.44,1213.73,1202.87,1206.53,358215000,3607.95
000001.SH,上证指数,1998/3/2,1196.74,1205.75,1182.61,1188.31,484315500,4824.06
000001.SH,上证指数,1998/3/3,1186.52,1201.8,1185.3,1201.79,356129700,3497.56
000001.SH,上证指数,1998/3/4,1204.95,1214,1201.25,1213.25,359514800,4065.64
000001.SH,上证指数,1998/3/5,1217.85,1219.28,1206.37,1207.54,322341900,3570.22
000001.SH,上证指数,1998/3/6,1208.75,1208.98,1202.12,1206.45,308502000,3304.97
000001.SH,上证指数,1998/3/9,1207.96,1208.62,1197.57,1200.83,309109400,3486.19
000001.SH,上证指数,1998/3/10,1199.63,1205.83,1186.55,1199.83,298064400,3271.18
000001.SH,上证指数,1998/3/11,1201.26,1210.53,1187.44,1190.04,365596600,4330.45
000001.SH,上证指数,1998/3/12,1187.54,1188.28,1175.55,1178.97,250410000,2586.09
000001.SH,上证指数,1998/3/13,1177.82,1184.96,1176.01,1184.96,233152800,2449.2
000001.SH,上证指数,1998/3/16,1186.19,1188.62,1179.44,1188.48,301891100,3361.36
000001.SH,上证指数,1998/3/17,1193.67,1202.84,1193.24,1202.84,373376000,4211.39
000001.SH,上证指数,1998/3/18,1204.1,1204.74,1191.91,1193.91,362260800,4012.77
000001.SH,上证指数,1998/3/19,1192.4,1195.83,1184.87,1188.72,335943800,3477.55
000001.SH,上证指数,1998/3/20,1188.6,1192.32,1183.25,1187.5,278982400,2931.56
000001.SH,上证指数,1998/3/23,1186.56,1186.86,1178.04,1179.87,361032200,3843.85
000001.SH,上证指数,1998/3/24,1180.09,1194.06,1179.97,1194.02,351972500,3649.99
000001.SH,上证指数,1998/3/25,1207.62,1209.77,1188.85,1191.55,412585500,4565.07
000001.SH,上证指数,1998/3/26,1191,1193.82,1186.22,1188.87,452050100,4470.46
000001.SH,上证指数,1998/3/27,1189.41,1223.93,1188.86,1223.57,682885500,7179.52
000001.SH,上证指数,1998/3/30,1230.94,1249.44,1228.3,1249.44,729618400,7862.28
000001.SH,上证指数,1998/3/31,1251.34,1252.24,1238.64,1243.02,609167600,6380.87
000001.SH,上证指数,1998/4/1,1243.37,1255.01,1240.06,1254.97,622217400,6704.32
000001.SH,上证指数,1998/4/2,1259.59,1285.03,1259.58,1269.02,1031202900,10971.26
000001.SH,上证指数,1998/4/3,1268.57,1286.11,1266.03,1286.08,791090100,8314.57
000001.SH,上证指数,1998/4/6,1291.61,1306.38,1286.43,1306.38,1020702600,10166.66
000001.SH,上证指数,1998/4/7,1308.56,1310.29,1296.54,1303.14,1627882600,8076.86
000001.SH,上证指数,1998/4/8,1303.41,1322.83,1302.41,1322.79,1413919300,10762.97
000001.SH,上证指数,1998/4/9,1326.44,1328.79,1288.89,1297.23,1511702200,11900.29
000001.SH,上证指数,1998/4/10,1294.62,1311.53,1293.59,1311.51,1462679900,9246.63
000001.SH,上证指数,1998/4/13,1319.95,1326.3,1311.83,1318.75,1214580900,10267.52
000001.SH,上证指数,1998/4/14,1318.27,1320.91,1304.38,1313.72,855311600,6656.1
000001.SH,上证指数,1998/4/15,1314.17,1324.71,1314.07,1324.71,955450300,6992.3
000001.SH,上证指数,1998/4/16,1324.04,1326.42,1312.57,1316.25,944117500,7941.41
000001.SH,上证指数,1998/4/17,1311.54,1311.73,1291.08,1298.11,878601400,7251.76
000001.SH,上证指数,1998/4/20,1292.16,1302.98,1286.59,1296.01,737714000,6776.03
000001.SH,上证指数,1998/4/21,1296.77,1307.86,1295.06,1305.22,656345500,5654.06
000001.SH,上证指数,1998/4/22,1307.83,1333.07,1307.83,1332.18,790204900,7337.91
000001.SH,上证指数,1998/4/23,1337.49,1340.25,1321.04,1324.56,1065313100,7752.38
000001.SH,上证指数,1998/4/24,1324.46,1331.86,1313.61,1315.17,970462200,7782.67
000001.SH,上证指数,1998/4/27,1314.35,1318.8,1303.48,1310.38,1106460600,7534.82
000001.SH,上证指数,1998/4/28,1315.35,1333.09,1315.33,1332.99,958932900,7375.24
000001.SH,上证指数,1998/4/29,1337.89,1341.58,1328.56,1332.5,827067300,6369.54
000001.SH,上证指数,1998/4/30,1336.01,1343.46,1335.55,1343.45,885859300,6900.2
000001.SH,上证指数,1998/5/4,1353.06,1355.52,1345.36,1352.93,1103649100,7962.73
000001.SH,上证指数,1998/5/5,1355.05,1356.06,1346.59,1352.52,801924500,6171.31
000001.SH,上证指数,1998/5/6,1352.72,1355.66,1341.81,1348.41,763829500,7138.63
000001.SH,上证指数,1998/5/7,1348.89,1352.55,1326.65,1327.87,795819500,7922.4
000001.SH,上证指数,1998/5/8,1324.74,1357.6,1324.72,1357.6,1686123300,8247.83
000001.SH,上证指数,1998/5/11,1367.24,1368.03,1351.59,1354.61,1342161500,10849.2
000001.SH,上证指数,1998/5/12,1358.96,1360.06,1342.73,1349.65,867969600,7079.64
000001.SH,上证指数,1998/5/13,1351.18,1369.3,1351,1369.26,1020086200,8644.81
000001.SH,上证指数,1998/5/14,1373.17,1376.3,1360.89,1367.13,1236781500,8758.13
000001.SH,上证指数,1998/5/15,1373.43,1379.13,1361.84,1368.09,1021641900,7754.8
000001.SH,上证指数,1998/5/18,1373.67,1376.38,1360.47,1368.18,826120400,5862.34
000001.SH,上证指数,1998/5/19,1370.68,1372.87,1355.54,1362.29,623135400,5012.03
000001.SH,上证指数,1998/5/20,1362.69,1365.1,1352.17,1357.43,672030000,6168.46
000001.SH,上证指数,1998/5/21,1356.96,1367.72,1350.26,1366.66,676192500,5858.89
000001.SH,上证指数,1998/5/22,1371.37,1379.89,1370.72,1375.82,800190200,7875.85
000001.SH,上证指数,1998/5/25,1380.13,1389.66,1376.2,1389.37,1070688500,9717.72
000001.SH,上证指数,1998/5/26,1392.75,1394.44,1383.76,1390.42,875233700,8669.72
000001.SH,上证指数,1998/5/27,1393.74,1399.54,1390.55,1399.54,882741600,8857.82
000001.SH,上证指数,1998/5/28,1402.85,1405.58,1392.9,1397.9,830878700,7858.01
000001.SH,上证指数,1998/5/29,1402.68,1411.35,1402.02,1411.21,950879600,9205.4
000001.SH,上证指数,1998/6/1,1418.35,1420.55,1411.06,1415.58,983990100,9925.5
000001.SH,上证指数,1998/6/2,1419.22,1419.58,1402.63,1413.08,795094200,7266.59
000001.SH,上证指数,1998/6/3,1415.02,1421.12,1413.11,1420,855816900,7012.82
000001.SH,上证指数,1998/6/4,1420.99,1422.98,1402.75,1406.3,763649000,7121.95
000001.SH,上证指数,1998/6/5,1404.08,1414.36,1390.63,1408.61,756791600,7804.39
000001.SH,上证指数,1998/6/8,1411.96,1415.18,1401.06,1403.73,668832500,6748.41
000001.SH,上证指数,1998/6/9,1400.35,1400.35,1357.47,1369.65,722689700,6894.23
000001.SH,上证指数,1998/6/10,1367.74,1377.83,1359.39,1368.3,535522100,5648.77
000001.SH,上证指数,1998/6/11,1367.56,1371.15,1346.07,1347.68,423951700,4017.34
000001.SH,上证指数,1998/6/12,1373.11,1383.47,1365.08,1383.39,542509700,5286.9
000001.SH,上证指数,1998/6/15,1385.33,1386.99,1359.88,1365.34,548843100,5746.01
000001.SH,上证指数,1998/6/16,1362.59,1362.59,1323.53,1348.59,592927500,5688.43
000001.SH,上证指数,1998/6/17,1349,1356.66,1344.44,1348.94,513160500,4693.48
000001.SH,上证指数,1998/6/18,1352.24,1372.12,1352.24,1370.69,524371700,4574
000001.SH,上证指数,1998/6/19,1376.19,1392.88,1376.19,1392.88,535910200,5865.71
000001.SH,上证指数,1998/6/22,1400.47,1401.51,1392.06,1399.36,643384400,7335.55
000001.SH,上证指数,1998/6/23,1398.24,1398.71,1385.45,1397.96,639347300,7194.5
000001.SH,上证指数,1998/6/24,1399.71,1402.14,1390.86,1401.74,631530000,6638.77
000001.SH,上证指数,1998/6/25,1402.95,1404.05,1377.18,1382.04,506546100,5084.42
000001.SH,上证指数,1998/6/26,1383.29,1388.55,1376.41,1385.62,1017813500,5311.19
000001.SH,上证指数,1998/6/29,1387.02,1387.19,1356.22,1361.43,601549100,4858.41
000001.SH,上证指数,1998/6/30,1360.62,1363.59,1335.21,1339.2,381065600,3707.58
000001.SH,上证指数,1998/7/1,1363.27,1367.15,1315.18,1316.44,555041600,4673.54
000001.SH,上证指数,1998/7/2,1314.1,1331.65,1297,1331.65,484588900,4305.71
000001.SH,上证指数,1998/7/3,1335.84,1341.73,1327.8,1335.13,545063600,4619.81
000001.SH,上证指数,1998/7/6,1339.26,1339.68,1313.28,1315.28,462786300,4031.2
000001.SH,上证指数,1998/7/7,1313.65,1324.41,1307.91,1324.4,351522000,3019.96
000001.SH,上证指数,1998/7/8,1326.82,1339.16,1326.63,1338.98,345298400,3153.98
000001.SH,上证指数,1998/7/9,1341.35,1344.43,1336.66,1343.23,398818200,3240.22
000001.SH,上证指数,1998/7/10,1344.75,1360.64,1344.63,1360.62,529792500,4068.97
000001.SH,上证指数,1998/7/13,1362.69,1363,1352.16,1358.81,479518500,4402.66
000001.SH,上证指数,1998/7/14,1360.61,1361.19,1334.71,1336.56,515627500,4973.58
000001.SH,上证指数,1998/7/15,1332.41,1341.64,1326.32,1335.47,433596500,4293.27
000001.SH,上证指数,1998/7/16,1335.3,1337.64,1317.89,1325.63,435545200,4265.02
000001.SH,上证指数,1998/7/17,1325.88,1330.82,1311.75,1314.72,512615000,4607.76
000001.SH,上证指数,1998/7/20,1311.06,1311.15,1278.3,1287.07,485388700,4140.59
000001.SH,上证指数,1998/7/21,1285.79,1318.93,1284.8,1313.01,407716800,3651.87
000001.SH,上证指数,1998/7/22,1312.23,1312.37,1295.61,1299.15,349492400,3328.69
000001.SH,上证指数,1998/7/23,1299.22,1316.29,1299.15,1316.27,410816800,3245.84
000001.SH,上证指数,1998/7/24,1317.85,1330.49,1317.85,1326.82,410907600,3877.9
000001.SH,上证指数,1998/7/27,1328.34,1328.73,1314.73,1321.9,395497100,3427.76
000001.SH,上证指数,1998/7/28,1321.63,1324.27,1313.2,1317.95,340169100,2866.54
000001.SH,上证指数,1998/7/29,1317.93,1321.26,1308.26,1311.94,385013900,3146.73
000001.SH,上证指数,1998/7/30,1312.86,1318.02,1309.77,1315.3,986043100,3247.83
000001.SH,上证指数,1998/7/31,1316.31,1319.36,1312.38,1316.92,482576000,3482.69
000001.SH,上证指数,1998/8/3,1315.14,1315.47,1299.93,1302.1,462257500,3181.41
000001.SH,上证指数,1998/8/4,1299.73,1299.73,1283.2,1293.46,415988600,2839.31
000001.SH,上证指数,1998/8/5,1293.7,1307.48,1293.12,1307.44,568248300,2745.26
000001.SH,上证指数,1998/8/6,1310.3,1312.6,1292.39,1294.16,623644600,2897.82
000001.SH,上证指数,1998/8/7,1292.08,1292.31,1267.92,1271.07,567622700,4386.63
000001.SH,上证指数,1998/8/10,1262.01,1262.03,1227.47,1234.58,489010200,3336.07
000001.SH,上证指数,1998/8/11,1230.38,1241.78,1206.64,1207.67,362714000,2745.32
000001.SH,上证指数,1998/8/12,1204.36,1207.73,1158.79,1190.55,530602800,3868.19
000001.SH,上证指数,1998/8/13,1193.37,1205.86,1185.57,1204.18,421402100,3379.17
000001.SH,上证指数,1998/8/14,1202.38,1202.38,1165.87,1168.03,468920800,3431.9
000001.SH,上证指数,1998/8/17,1152.67,1152.67,1068.66,1070.41,536182000,3434.63
000001.SH,上证指数,1998/8/18,1054.18,1094.38,1043.02,1071.3,530912700,3249.98
000001.SH,上证指数,1998/8/19,1072.74,1126.08,1072.72,1126.08,719998500,3641.89
000001.SH,上证指数,1998/8/20,1128.75,1149.96,1113.86,1149.91,644039800,4123.44
000001.SH,上证指数,1998/8/21,1149.62,1178.74,1141.51,1177.62,717002300,4740.49
000001.SH,上证指数,1998/8/24,1178.55,1190.88,1166.14,1178.55,729280000,5146.38
000001.SH,上证指数,1998/8/25,1174.41,1179.11,1159.39,1179.07,636648500,4612.3
000001.SH,上证指数,1998/8/26,1174.85,1182.33,1159.52,1160.29,664454900,3731.66
000001.SH,上证指数,1998/8/27,1152.36,1154.69,1142.17,1145.22,468006300,3099.14
000001.SH,上证指数,1998/8/28,1139.82,1146.51,1125.2,1129.72,450418700,2848.37
000001.SH,上证指数,1998/8/31,1117.97,1150.23,1072.42,1150.22,561265700,3291.81
000001.SH,上证指数,1998/9/1,1142.5,1163.17,1123.64,1143.13,562208900,3658.95
000001.SH,上证指数,1998/9/2,1137.31,1149.27,1129.81,1136.89,405782600,2396.55
000001.SH,上证指数,1998/9/3,1136.44,1151.01,1136.14,1147.2,365684100,2385.25
000001.SH,上证指数,1998/9/4,1148.95,1169.47,1148.94,1163.53,527627500,3298.08
000001.SH,上证指数,1998/9/7,1168.37,1178.38,1163.21,1178.38,490753100,3256.13
000001.SH,上证指数,1998/9/8,1181.07,1185.1,1166.66,1167.6,602511800,3517.64
000001.SH,上证指数,1998/9/9,1165.66,1190.74,1162.47,1190.68,632013100,5158.33
000001.SH,上证指数,1998/9/10,1194.88,1219.8,1194.12,1213.67,1019077300,7536.38
000001.SH,上证指数,1998/9/11,1214.83,1225.14,1206.61,1218.01,868787000,6578.32
000001.SH,上证指数,1998/9/14,1219.32,1239.77,1214.44,1239.61,1252016500,7443.83
000001.SH,上证指数,1998/9/15,1240.94,1245.42,1228.88,1230.13,1059686600,6893.84
000001.SH,上证指数,1998/9/16,1226.9,1252.2,1225.29,1252.14,941914800,6971.04
000001.SH,上证指数,1998/9/17,1257.38,1264.4,1226.72,1233.7,1119136600,9614.16
000001.SH,上证指数,1998/9/18,1227.56,1233.4,1199.58,1207,888718200,7338.97
000001.SH,上证指数,1998/9/21,1199.17,1222.38,1193.82,1222.38,604194800,4742.74
000001.SH,上证指数,1998/9/22,1224.4,1229.62,1214.02,1222.63,532966200,4264.16
000001.SH,上证指数,1998/9/23,1223.99,1233.79,1222.36,1229.86,541309100,4054.57
000001.SH,上证指数,1998/9/24,1231.05,1232.28,1196.92,1199.06,716607800,5775.05
000001.SH,上证指数,1998/9/25,1194.31,1221.58,1192.08,1221.58,530918400,4136.22
000001.SH,上证指数,1998/9/28,1224.27,1239.8,1217.65,1230.21,699681500,5302.73
000001.SH,上证指数,1998/9/29,1231.9,1239.11,1226.84,1231.75,558441700,4205.03
000001.SH,上证指数,1998/9/30,1233.59,1242.94,1233.43,1242.9,561127200,3972.02
000001.SH,上证指数,1998/10/5,1245.74,1246.6,1231.4,1234.78,450409500,3520.36
000001.SH,上证指数,1998/10/6,1234.14,1237.84,1214.83,1217.46,501290800,3586.51
000001.SH,上证指数,1998/10/7,1214.36,1219.1,1207.93,1213.79,527452200,3692.59
000001.SH,上证指数,1998/10/8,1215.95,1228.73,1215.87,1228.71,487315000,3823.31
000001.SH,上证指数,1998/10/9,1231.94,1241.05,1229.85,1236.93,628463800,5135.61
000001.SH,上证指数,1998/10/12,1239.57,1247.24,1227.86,1247.15,703982000,5934.72
000001.SH,上证指数,1998/10/13,1250.68,1257.35,1239.77,1244.07,702796800,6036.7
000001.SH,上证指数,1998/10/14,1243.71,1247.66,1234.07,1240.6,532580600,4335.84
000001.SH,上证指数,1998/10/15,1243.2,1254.84,1241.26,1254.81,629901300,5554.4
000001.SH,上证指数,1998/10/16,1259.14,1263.71,1249.93,1251.53,701348300,6210.45
000001.SH,上证指数,1998/10/19,1255.05,1256.76,1240.45,1246.24,571347300,4952.7
000001.SH,上证指数,1998/10/20,1248.24,1251.43,1238.3,1243.65,545133800,4196.37
000001.SH,上证指数,1998/10/21,1243.54,1243.6,1206.12,1207.83,746523300,6347.66
000001.SH,上证指数,1998/10/22,1202.21,1216.17,1191.56,1216.09,636917100,5419.41
000001.SH,上证指数,1998/10/23,1217.13,1230.83,1215.47,1217.43,673113400,5913.38
000001.SH,上证指数,1998/10/26,1215.56,1215.56,1195.24,1208.27,672203300,6095.44
000001.SH,上证指数,1998/10/27,1207.2,1218.45,1204.74,1216.79,510306200,4898.58
000001.SH,上证指数,1998/10/28,1218.5,1226.11,1217.23,1225.93,524178200,4977.48
000001.SH,上证指数,1998/10/29,1226.92,1229.74,1214.92,1216.76,458066600,4261.18
000001.SH,上证指数,1998/10/30,1216.01,1225.64,1215.46,1217.32,469293500,4522.61
000001.SH,上证指数,1998/11/2,1217.34,1223.53,1210.85,1223.48,434854200,4249.04
000001.SH,上证指数,1998/11/3,1225.26,1236.97,1225.22,1236.87,474201700,4818.95
000001.SH,上证指数,1998/11/4,1239.5,1240.7,1232.78,1235.8,460459100,4515.81
000001.SH,上证指数,1998/11/5,1237.54,1253.31,1237.51,1253.28,691822900,6348.04
000001.SH,上证指数,1998/11/6,1258.7,1267.39,1257.17,1259.77,1010638200,9123.31
000001.SH,上证指数,1998/11/9,1263.96,1283.12,1263.96,1283.12,877811900,7894.01
000001.SH,上证指数,1998/11/10,1283.92,1288.74,1275.19,1286.56,789853600,7131.54
000001.SH,上证指数,1998/11/11,1287.42,1288.35,1278.47,1286.2,665748900,6595.38
000001.SH,上证指数,1998/11/12,1286.56,1295.06,1278.94,1282.99,674553400,6660.34
000001.SH,上证指数,1998/11/13,1281.99,1285.92,1271.32,1282.51,564045500,5548.21
000001.SH,上证指数,1998/11/16,1284.34,1293.76,1281.6,1293.74,582564600,5945.62
000001.SH,上证指数,1998/11/17,1296.63,1300.15,1285.02,1290.6,565521600,5622.58
000001.SH,上证指数,1998/11/18,1291,1292.93,1281.6,1285.5,545182200,5112.59
000001.SH,上证指数,1998/11/19,1283.96,1284.14,1274.09,1275.61,487167400,5251.53
000001.SH,上证指数,1998/11/20,1272.66,1279.38,1271.66,1275.37,450467300,4577.25
000001.SH,上证指数,1998/11/23,1275.9,1278.09,1269.1,1273.79,456403800,4267.05
000001.SH,上证指数,1998/11/24,1274.45,1282.93,1274.41,1278.92,671864100,4090.66
000001.SH,上证指数,1998/11/25,1280.27,1283.96,1262.23,1263.85,496680200,3856.93
000001.SH,上证指数,1998/11/26,1260.08,1262.78,1247.84,1252.82,435132600,3934.53
000001.SH,上证指数,1998/11/27,1252.37,1259.04,1242.57,1245.08,427589000,3662.6
000001.SH,上证指数,1998/11/30,1244.92,1247.42,1238.14,1247.42,404677800,3274.81
000001.SH,上证指数,1998/12/1,1249.01,1251.87,1232,1234.36,387952700,3147.63
000001.SH,上证指数,1998/12/2,1233.16,1236.97,1222.65,1236.97,342389000,3004.05
000001.SH,上证指数,1998/12/3,1238.29,1239.26,1229.85,1232.51,376711600,3305.68
000001.SH,上证指数,1998/12/4,1232.43,1234.63,1213.56,1219.2,370042000,3159.1
000001.SH,上证指数,1998/12/7,1234.76,1237.69,1207.76,1209.54,334439200,2649.86
000001.SH,上证指数,1998/12/8,1209.84,1223.34,1209.81,1223.26,297779700,2179.79
000001.SH,上证指数,1998/12/9,1224.36,1225.99,1219.01,1224.09,256750300,1963.07
000001.SH,上证指数,1998/12/10,1224.15,1224.93,1203.07,1204.64,351307700,2562.55
000001.SH,上证指数,1998/12/11,1201.85,1214.24,1194.07,1214.21,318344300,2215.14
000001.SH,上证指数,1998/12/14,1214.6,1214.67,1194.66,1196.3,282568800,2058.67
000001.SH,上证指数,1998/12/15,1193.64,1194.89,1173.92,1194.84,330883800,2376.44
000001.SH,上证指数,1998/12/16,1194.94,1195.55,1180.86,1183.06,239998400,1816.29
000001.SH,上证指数,1998/12/17,1180.17,1180.17,1158.51,1160.09,344884400,2452.26
000001.SH,上证指数,1998/12/18,1155.75,1167.64,1150.72,1155.92,285990900,1994.39
000001.SH,上证指数,1998/12/21,1153.66,1163.24,1150.39,1154.43,233872600,1648.01
000001.SH,上证指数,1998/12/22,1155.63,1185.98,1155.62,1185.97,352038800,2556.98
000001.SH,上证指数,1998/12/23,1186.98,1187.91,1170.16,1172.51,291759100,2167.78
000001.SH,上证指数,1998/12/24,1171.71,1171.71,1161.85,1168.98,265489600,2111.62
000001.SH,上证指数,1998/12/25,1169.6,1178.92,1169.54,1173.91,297707400,1913.45
000001.SH,上证指数,1998/12/28,1175.63,1179,1157.7,1159.94,336609600,1949.65
000001.SH,上证指数,1998/12/29,1157.48,1157.57,1139.99,1142.73,316623600,2056.3
000001.SH,上证指数,1998/12/30,1141.89,1151.72,1125.56,1148.26,371030100,2306.94
000001.SH,上证指数,1998/12/31,1149.83,1153.15,1140.36,1146.7,231784300,1693.96
000001.SH,上证指数,1999/1/4,1144.89,1144.89,1124.21,1125.82,233951700,1162.13
000001.SH,上证指数,1999/1/5,1123.7,1123.7,1104.5,1119.97,289192000,1539.23
000001.SH,上证指数,1999/1/6,1120.67,1137.21,1120.4,1132.59,325549100,1965.3
000001.SH,上证指数,1999/1/7,1133.17,1140.48,1125.67,1137.73,371507500,2252.12
000001.SH,上证指数,1999/1/8,1138.77,1168.84,1138.77,1168.81,443624000,3260.37
000001.SH,上证指数,1999/1/11,1169.91,1174.43,1158.54,1172.81,396265800,2931.03
000001.SH,上证指数,1999/1/12,1171.74,1171.87,1158.3,1158.87,462492100,3346.02
000001.SH,上证指数,1999/1/13,1153.29,1159.94,1144.45,1148.15,446164100,3035.52
000001.SH,上证指数,1999/1/14,1145.9,1153.1,1142.35,1148.66,323041200,2390.04
000001.SH,上证指数,1999/1/15,1149.78,1150.68,1136.3,1137.31,385468200,3164.48
000001.SH,上证指数,1999/1/18,1135.09,1153.42,1126.71,1153.12,447709700,3379.57
000001.SH,上证指数,1999/1/19,1154.16,1160.26,1149.37,1158.55,444296600,3472.68
000001.SH,上证指数,1999/1/20,1159.03,1162.98,1148.81,1151.37,406370500,2463.83
000001.SH,上证指数,1999/1/21,1150.3,1158.51,1145.3,1158.5,447494500,2652.45
000001.SH,上证指数,1999/1/22,1159.92,1168.18,1157.15,1162.35,553657600,3604.6
000001.SH,上证指数,1999/1/25,1161.98,1162.44,1146.97,1148.12,791312700,2915.82
000001.SH,上证指数,1999/1/26,1145.07,1146.12,1132.96,1138.21,620329300,2547.78
000001.SH,上证指数,1999/1/27,1137.69,1146.5,1134.13,1146.49,757097900,2533.49
000001.SH,上证指数,1999/1/28,1147.87,1150.58,1137.12,1140.98,625434500,3409.02
000001.SH,上证指数,1999/1/29,1139.84,1140.13,1130.33,1134.67,515158500,2834.65
000001.SH,上证指数,1999/2/1,1131.65,1131.66,1118.55,1120.53,508415200,2538.58
000001.SH,上证指数,1999/2/2,1119.78,1126.41,1114.79,1126.4,398997300,2198.95
000001.SH,上证指数,1999/2/3,1126.84,1127.27,1115.13,1116.87,371484100,2251.16
000001.SH,上证指数,1999/2/4,1114.65,1114.69,1102.49,1103.5,389106200,2116.44
000001.SH,上证指数,1999/2/5,1101.48,1101.48,1079.22,1081.44,408518000,2217.08
000001.SH,上证指数,1999/2/8,1076.82,1082.46,1064.17,1065.82,352380800,1915.98
000001.SH,上证指数,1999/2/9,1065.91,1090.17,1065.91,1090.09,327566200,1805.29
000001.SH,上证指数,1999/3/1,1092.15,1098.36,1084.16,1097.98,288540700,1573.51
000001.SH,上证指数,1999/3/2,1098.29,1103.25,1090.04,1100.92,404006400,2075.63
000001.SH,上证指数,1999/3/3,1101.13,1128.78,1101.07,1128.74,559034400,3183.46
000001.SH,上证指数,1999/3/4,1130.34,1133.73,1120.71,1128.95,495140000,3121.5
000001.SH,上证指数,1999/3/5,1128.62,1137.96,1124.09,1132.36,520194300,3071.19
000001.SH,上证指数,1999/3/8,1133.51,1142.15,1128.39,1142.11,563170200,3104.66
000001.SH,上证指数,1999/3/9,1143.1,1145.71,1135.37,1136.94,590019900,4002.9
000001.SH,上证指数,1999/3/10,1136.02,1136.08,1127.17,1132.74,532639000,3038.06
000001.SH,上证指数,1999/3/11,1133.29,1153.84,1133.15,1149.93,694161000,3998.21
