浠ｇ爜,鍚嶇О,鏃ユ湡,寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
399106.SZ,娣辫瘉缁兼寚,1991/4/3,100,100,100,100,0.23,16100
399106.SZ,娣辫瘉缁兼寚,1991/4/4,99.5,99.5,99.5,99.5,0.76,52300
399106.SZ,娣辫瘉缁兼寚,1991/4/5,99.01,99.01,99.01,99.01,0.15,10700
399106.SZ,娣辫瘉缁兼寚,1991/4/6,98.53,98.53,98.53,98.53,0.16,10200
399106.SZ,娣辫瘉缁兼寚,1991/4/8,98.08,98.08,98.08,98.08,0.08,5700
399106.SZ,娣辫瘉缁兼寚,1991/4/9,97.54,97.54,97.54,97.54,0.04,1900
399106.SZ,娣辫瘉缁兼寚,1991/4/10,97.04,97.04,97.04,97.04,0.11,4500
399106.SZ,娣辫瘉缁兼寚,1991/4/11,96.54,96.54,96.54,96.54,0.06,4500
399106.SZ,娣辫瘉缁兼寚,1991/4/12,96.06,96.06,96.06,96.06,0.11,6800
399106.SZ,娣辫瘉缁兼寚,1991/4/13,95.59,95.59,95.59,95.59,0.06,3000
399106.SZ,娣辫瘉缁兼寚,1991/4/15,95.13,95.13,95.13,95.13,0.07,5000
399106.SZ,娣辫瘉缁兼寚,1991/4/16,94.66,94.66,94.66,94.66,0.03,2200
399106.SZ,娣辫瘉缁兼寚,1991/4/17,94.2,94.2,94.2,94.2,0.03,2100
399106.SZ,娣辫瘉缁兼寚,1991/4/18,93.73,93.73,93.73,93.73,0.03,1400
399106.SZ,娣辫瘉缁兼寚,1991/4/19,93.27,93.27,93.27,93.27,0.03,1700
399106.SZ,娣辫瘉缁兼寚,1991/4/20,92.8,92.8,92.8,92.8,0.02,500
399106.SZ,娣辫瘉缁兼寚,1991/4/22,92.34,92.34,92.34,92.34,0,0
399106.SZ,娣辫瘉缁兼寚,1991/4/23,91.87,91.87,91.87,91.87,0.15,4800
399106.SZ,娣辫瘉缁兼寚,1991/4/24,91.42,91.42,91.42,91.42,0.11,4600
399106.SZ,娣辫瘉缁兼寚,1991/4/25,90.97,90.97,90.97,90.97,0.11,5000
399106.SZ,娣辫瘉缁兼寚,1991/4/26,90.52,90.52,90.52,90.52,0.09,5300
399106.SZ,娣辫瘉缁兼寚,1991/4/27,90.06,90.06,90.06,90.06,0.03,2000
399106.SZ,娣辫瘉缁兼寚,1991/4/29,89.62,89.62,89.62,89.62,0.07,4900
399106.SZ,娣辫瘉缁兼寚,1991/4/30,89.17,89.17,89.17,89.17,0.18,14200
399106.SZ,娣辫瘉缁兼寚,1991/5/2,88.72,88.72,88.72,88.72,0.09,7200
399106.SZ,娣辫瘉缁兼寚,1991/5/3,88.27,88.27,88.27,88.27,0.1,7800
399106.SZ,娣辫瘉缁兼寚,1991/5/4,87.83,87.83,87.83,87.83,0.2,16200
399106.SZ,娣辫瘉缁兼寚,1991/5/6,87.38,87.38,87.38,87.38,0.18,12400
399106.SZ,娣辫瘉缁兼寚,1991/5/7,86.95,86.95,86.95,86.95,0.13,10200
399106.SZ,娣辫瘉缁兼寚,1991/5/8,86.52,86.52,86.52,86.52,0.7,30900
399106.SZ,娣辫瘉缁兼寚,1991/5/9,86.08,86.08,86.08,86.08,0.57,43500
399106.SZ,娣辫瘉缁兼寚,1991/5/10,85.65,85.65,85.65,85.65,0.9,70000
399106.SZ,娣辫瘉缁兼寚,1991/5/11,85.2,85.2,85.2,85.2,0.84,68600
399106.SZ,娣辫瘉缁兼寚,1991/5/13,84.78,84.78,84.78,84.78,1.91,155400
399106.SZ,娣辫瘉缁兼寚,1991/5/14,84.48,84.48,84.48,84.48,3.87,316000
399106.SZ,娣辫瘉缁兼寚,1991/5/15,84.2,84.2,84.2,84.2,5.66,395700
399106.SZ,娣辫瘉缁兼寚,1991/5/16,83.93,83.93,83.93,83.93,8.12,591800
399106.SZ,娣辫瘉缁兼寚,1991/5/17,83.67,83.67,83.67,83.67,11.55,901400
399106.SZ,娣辫瘉缁兼寚,1991/5/18,83.38,83.38,83.38,83.38,5.15,418000
399106.SZ,娣辫瘉缁兼寚,1991/5/20,83.09,83.09,83.09,83.09,6.78,563100
399106.SZ,娣辫瘉缁兼寚,1991/5/21,82.81,82.81,82.81,82.81,4.59,370800
399106.SZ,娣辫瘉缁兼寚,1991/5/22,82.52,82.52,82.52,82.52,5.59,453300
399106.SZ,娣辫瘉缁兼寚,1991/5/23,82.11,82.11,82.11,82.11,4.01,326700
399106.SZ,娣辫瘉缁兼寚,1991/5/24,81.7,81.7,81.7,81.7,1.19,100800
399106.SZ,娣辫瘉缁兼寚,1991/5/25,81.3,81.3,81.3,81.3,0.5,43500
399106.SZ,娣辫瘉缁兼寚,1991/5/27,80.9,80.9,80.9,80.9,1.51,132000
399106.SZ,娣辫瘉缁兼寚,1991/5/28,80.5,80.5,80.5,80.5,0.22,17800
399106.SZ,娣辫瘉缁兼寚,1991/5/29,80.11,80.11,80.11,80.11,0.26,13600
399106.SZ,娣辫瘉缁兼寚,1991/5/30,79.72,79.72,79.72,79.72,0.29,20400
399106.SZ,娣辫瘉缁兼寚,1991/5/31,79.33,79.33,79.33,79.33,0.1,8100
399106.SZ,娣辫瘉缁兼寚,1991/6/1,78.94,78.94,78.94,78.94,0.33,26000
399106.SZ,娣辫瘉缁兼寚,1991/6/3,78.55,78.55,78.55,78.55,0.33,25700
399106.SZ,娣辫瘉缁兼寚,1991/6/4,78.16,78.16,78.16,78.16,0.96,80100
399106.SZ,娣辫瘉缁兼寚,1991/6/5,77.78,77.78,77.78,77.78,1.99,165000
399106.SZ,娣辫瘉缁兼寚,1991/6/6,77.39,77.39,77.39,77.39,0.04,2400
399106.SZ,娣辫瘉缁兼寚,1991/6/7,77,77,77,77,0.11,10600
399106.SZ,娣辫瘉缁兼寚,1991/6/8,76.09,76.09,76.09,76.09,0.11,10100
399106.SZ,娣辫瘉缁兼寚,1991/6/10,73.79,73.79,73.79,73.79,0.18,16500
399106.SZ,娣辫瘉缁兼寚,1991/6/11,75.76,75.76,75.76,75.76,0.76,98700
399106.SZ,娣辫瘉缁兼寚,1991/6/12,75.39,75.39,75.39,75.39,1.65,190500
399106.SZ,娣辫瘉缁兼寚,1991/6/13,74.7,74.7,74.7,74.7,2.18,238900
399106.SZ,娣辫瘉缁兼寚,1991/6/14,73.72,73.72,73.72,73.72,2.08,236200
399106.SZ,娣辫瘉缁兼寚,1991/6/15,73,73,73,73,0.97,105700
399106.SZ,娣辫瘉缁兼寚,1991/6/17,72.34,72.34,72.34,72.34,1.81,210000
399106.SZ,娣辫瘉缁兼寚,1991/6/18,72.3,72.3,72.3,72.3,1.11,148500
399106.SZ,娣辫瘉缁兼寚,1991/6/19,71.91,71.91,71.91,71.91,1.87,231200
399106.SZ,娣辫瘉缁兼寚,1991/6/20,71.23,71.23,71.23,71.23,1.67,225000
399106.SZ,娣辫瘉缁兼寚,1991/6/21,70.69,70.69,70.69,70.69,1.26,180200
399106.SZ,娣辫瘉缁兼寚,1991/6/22,70.11,70.11,70.11,70.11,1.57,221100
399106.SZ,娣辫瘉缁兼寚,1991/6/24,69.31,69.31,69.31,69.31,1.9,276500
399106.SZ,娣辫瘉缁兼寚,1991/6/25,71.92,71.92,71.92,71.92,3.36,618300
399106.SZ,娣辫瘉缁兼寚,1991/6/26,72.44,72.44,72.44,72.44,3.58,656600
399106.SZ,娣辫瘉缁兼寚,1991/6/27,72.55,72.55,72.55,72.55,4.83,864900
399106.SZ,娣辫瘉缁兼寚,1991/6/28,72.51,72.51,72.51,72.51,5.93,1064300
399106.SZ,娣辫瘉缁兼寚,1991/6/29,72.45,72.45,72.45,72.45,2.38,447600
399106.SZ,娣辫瘉缁兼寚,1991/7/1,71.63,71.63,71.63,71.63,5.47,979500
399106.SZ,娣辫瘉缁兼寚,1991/7/2,69.95,69.95,69.95,69.95,3.06,566700
399106.SZ,娣辫瘉缁兼寚,1991/7/3,69.84,69.84,69.84,69.84,4.37,849400
399106.SZ,娣辫瘉缁兼寚,1991/7/4,69.05,69.05,69.05,69.05,2.94,525200
399106.SZ,娣辫瘉缁兼寚,1991/7/5,67.83,67.83,67.83,67.83,3.52,635500
399106.SZ,娣辫瘉缁兼寚,1991/7/6,66.64,66.64,66.64,66.64,1.95,425000
399106.SZ,娣辫瘉缁兼寚,1991/7/8,65.14,65.14,65.14,65.14,3.21,698200
399106.SZ,娣辫瘉缁兼寚,1991/7/9,63.24,63.24,63.24,63.24,3.38,852200
399106.SZ,娣辫瘉缁兼寚,1991/7/10,63.46,63.46,63.46,63.46,3.38,753500
399106.SZ,娣辫瘉缁兼寚,1991/7/11,63.02,63.02,63.02,63.02,2.83,613700
399106.SZ,娣辫瘉缁兼寚,1991/7/12,62.47,62.47,62.47,62.47,3.59,851600
399106.SZ,娣辫瘉缁兼寚,1991/7/13,62.49,62.49,62.49,62.49,1.64,360100
399106.SZ,娣辫瘉缁兼寚,1991/7/15,61.61,61.61,61.61,61.61,2.52,596600
399106.SZ,娣辫瘉缁兼寚,1991/7/16,60.46,60.46,60.46,60.46,2.81,664200
399106.SZ,娣辫瘉缁兼寚,1991/7/17,59.82,59.82,59.82,59.82,2.66,677200
399106.SZ,娣辫瘉缁兼寚,1991/7/18,63.24,63.24,63.24,63.24,2.83,593600
399106.SZ,娣辫瘉缁兼寚,1991/7/19,64.52,64.52,64.52,64.52,6.05,1097200
399106.SZ,娣辫瘉缁兼寚,1991/7/20,62.68,62.68,62.68,62.68,3.22,614200
399106.SZ,娣辫瘉缁兼寚,1991/7/22,62.77,62.77,62.77,62.77,4.86,991400
399106.SZ,娣辫瘉缁兼寚,1991/7/23,62.63,62.63,62.63,62.63,4.49,834400
399106.SZ,娣辫瘉缁兼寚,1991/7/24,62.34,62.34,62.34,62.34,2.31,479500
399106.SZ,娣辫瘉缁兼寚,1991/7/25,61.87,61.87,61.87,61.87,3.09,669800
399106.SZ,娣辫瘉缁兼寚,1991/7/26,60.9,60.9,60.9,60.9,3.36,701900
399106.SZ,娣辫瘉缁兼寚,1991/7/27,60.82,60.82,60.82,60.82,1.36,296700
399106.SZ,娣辫瘉缁兼寚,1991/7/29,60.3,60.3,60.3,60.3,3.94,878300
399106.SZ,娣辫瘉缁兼寚,1991/7/30,60.06,60.06,60.06,60.06,2.58,593500
399106.SZ,娣辫瘉缁兼寚,1991/7/31,60.14,60.14,60.14,60.14,2.49,587500
399106.SZ,娣辫瘉缁兼寚,1991/8/1,60.17,60.17,60.17,60.17,3.38,737900
399106.SZ,娣辫瘉缁兼寚,1991/8/2,60.11,60.11,60.11,60.11,2.43,520900
399106.SZ,娣辫瘉缁兼寚,1991/8/3,60.55,60.55,60.55,60.55,1.46,331400
399106.SZ,娣辫瘉缁兼寚,1991/8/5,60.22,60.22,60.22,60.22,2.53,560800
399106.SZ,娣辫瘉缁兼寚,1991/8/6,59.98,59.98,59.98,59.98,2.63,595600
399106.SZ,娣辫瘉缁兼寚,1991/8/7,60.02,60.02,60.02,60.02,2.4,522000
399106.SZ,娣辫瘉缁兼寚,1991/8/8,59.7,59.7,59.7,59.7,2.12,451300
399106.SZ,娣辫瘉缁兼寚,1991/8/9,59.25,59.25,59.25,59.25,2.47,549200
399106.SZ,娣辫瘉缁兼寚,1991/8/10,59.56,59.56,59.56,59.56,1.27,236200
399106.SZ,娣辫瘉缁兼寚,1991/8/12,59.18,59.18,59.18,59.18,2.3,540900
399106.SZ,娣辫瘉缁兼寚,1991/8/13,58.78,58.78,58.78,58.78,2.42,544500
399106.SZ,娣辫瘉缁兼寚,1991/8/14,58.6,58.6,58.6,58.6,1.81,414600
399106.SZ,娣辫瘉缁兼寚,1991/8/15,58.11,58.11,58.11,58.11,2.08,445400
399106.SZ,娣辫瘉缁兼寚,1991/8/16,58.88,58.88,58.88,58.88,2.54,599200
399106.SZ,娣辫瘉缁兼寚,1991/8/17,50.15,50.15,50.15,50.15,1.21,194500
399106.SZ,娣辫瘉缁兼寚,1991/8/19,51.21,51.21,51.21,51.21,7.55,858500
399106.SZ,娣辫瘉缁兼寚,1991/8/20,50.35,50.35,50.35,50.35,5.78,821000
399106.SZ,娣辫瘉缁兼寚,1991/8/21,50.04,50.04,50.04,50.04,7.87,910400
399106.SZ,娣辫瘉缁兼寚,1991/8/22,49.18,49.18,49.18,49.18,6.96,878500
399106.SZ,娣辫瘉缁兼寚,1991/8/23,48.95,48.95,48.95,48.95,8.56,874000
399106.SZ,娣辫瘉缁兼寚,1991/8/24,49.81,49.81,49.81,49.81,6.04,545400
399106.SZ,娣辫瘉缁兼寚,1991/8/26,49.58,49.58,49.58,49.58,6.73,935500
399106.SZ,娣辫瘉缁兼寚,1991/8/27,49.06,49.06,49.06,49.06,6.03,942300
399106.SZ,娣辫瘉缁兼寚,1991/8/28,49.06,49.06,49.06,49.06,6.16,838600
399106.SZ,娣辫瘉缁兼寚,1991/8/29,48.99,48.99,48.99,48.99,5.52,702100
399106.SZ,娣辫瘉缁兼寚,1991/8/30,48.83,48.83,48.83,48.83,5.41,731600
399106.SZ,娣辫瘉缁兼寚,1991/8/31,48.72,48.72,48.72,48.72,2.95,381100
399106.SZ,娣辫瘉缁兼寚,1991/9/2,48.52,48.52,48.52,48.52,6.34,938700
399106.SZ,娣辫瘉缁兼寚,1991/9/3,48.29,48.29,48.29,48.29,8.26,1271800
399106.SZ,娣辫瘉缁兼寚,1991/9/4,47.96,47.96,47.96,47.96,4.89,783400
399106.SZ,娣辫瘉缁兼寚,1991/9/5,47.35,47.35,47.35,47.35,9.96,1198800
399106.SZ,娣辫瘉缁兼寚,1991/9/6,45.66,45.66,45.66,45.66,7.75,1110300
399106.SZ,娣辫瘉缁兼寚,1991/9/7,46.01,46.01,46.01,46.01,7.15,922000
399106.SZ,娣辫瘉缁兼寚,1991/9/9,46.25,46.25,46.25,46.25,11.95,1401300
399106.SZ,娣辫瘉缁兼寚,1991/9/10,46.4,46.4,46.4,46.4,8.84,1180300
399106.SZ,娣辫瘉缁兼寚,1991/9/11,47.07,47.07,47.07,47.07,9.48,1131200
399106.SZ,娣辫瘉缁兼寚,1991/9/12,47.2,47.2,47.2,47.2,8.23,1088700
399106.SZ,娣辫瘉缁兼寚,1991/9/13,47.15,47.15,47.15,47.15,13.5,1374900
399106.SZ,娣辫瘉缁兼寚,1991/9/14,47,47,47,47,6.65,690700
399106.SZ,娣辫瘉缁兼寚,1991/9/16,46.62,46.62,46.62,46.62,5.22,709400
399106.SZ,娣辫瘉缁兼寚,1991/9/17,46.48,46.48,46.48,46.48,6.13,763900
399106.SZ,娣辫瘉缁兼寚,1991/9/18,46.32,46.32,46.32,46.32,5.81,753900
399106.SZ,娣辫瘉缁兼寚,1991/9/19,46.06,46.06,46.06,46.06,7.06,878400
399106.SZ,娣辫瘉缁兼寚,1991/9/20,45.98,45.98,45.98,45.98,4.82,579800
399106.SZ,娣辫瘉缁兼寚,1991/9/21,46.03,46.03,46.03,46.03,4.02,482600
399106.SZ,娣辫瘉缁兼寚,1991/9/23,46.04,46.04,46.04,46.04,4.42,551700
399106.SZ,娣辫瘉缁兼寚,1991/9/24,45.81,45.81,45.81,45.81,3.27,444300
399106.SZ,娣辫瘉缁兼寚,1991/9/25,46.07,46.07,46.07,46.07,5.01,724500
399106.SZ,娣辫瘉缁兼寚,1991/9/26,46.18,46.18,46.18,46.18,3.12,516200
399106.SZ,娣辫瘉缁兼寚,1991/9/27,46.5,46.5,46.5,46.5,4.54,716400
399106.SZ,娣辫瘉缁兼寚,1991/9/28,46.71,46.71,46.71,46.71,8.81,1732600
399106.SZ,娣辫瘉缁兼寚,1991/9/29,46.87,46.87,46.87,46.87,3.03,446000
399106.SZ,娣辫瘉缁兼寚,1991/10/3,49.48,49.48,49.48,49.48,7.83,1252800
399106.SZ,娣辫瘉缁兼寚,1991/10/4,49.04,49.04,49.04,49.04,12.04,1683400
399106.SZ,娣辫瘉缁兼寚,1991/10/5,49.4,49.4,49.4,49.4,7.35,1118600
399106.SZ,娣辫瘉缁兼寚,1991/10/7,55.1,55.1,55.1,55.1,15.72,2274800
399106.SZ,娣辫瘉缁兼寚,1991/10/8,65.19,65.19,65.19,65.19,36.85,4343400
399106.SZ,娣辫瘉缁兼寚,1991/10/9,77.76,77.76,77.76,77.76,53.78,6216400
399106.SZ,娣辫瘉缁兼寚,1991/10/10,70.81,70.81,70.81,70.81,55.94,5972900
399106.SZ,娣辫瘉缁兼寚,1991/10/11,73.09,73.09,73.09,73.09,49.82,5323200
399106.SZ,娣辫瘉缁兼寚,1991/10/12,75.28,75.28,75.28,75.28,28.07,2916800
399106.SZ,娣辫瘉缁兼寚,1991/10/14,75.67,75.67,75.67,75.67,44.65,4644300
399106.SZ,娣辫瘉缁兼寚,1991/10/15,72.24,72.24,72.24,72.24,25.37,2806600
399106.SZ,娣辫瘉缁兼寚,1991/10/16,71.06,71.06,71.06,71.06,26.23,2748400
399106.SZ,娣辫瘉缁兼寚,1991/10/17,73.59,73.59,73.59,73.59,32.64,3658900
399106.SZ,娣辫瘉缁兼寚,1991/10/18,74.18,74.18,74.18,74.18,32.7,3184900
399106.SZ,娣辫瘉缁兼寚,1991/10/19,73.98,73.98,73.98,73.98,11.55,1093600
399106.SZ,娣辫瘉缁兼寚,1991/10/21,73.73,73.73,73.73,73.73,21.96,2025200
399106.SZ,娣辫瘉缁兼寚,1991/10/22,72.45,72.45,72.45,72.45,20.18,1933400
399106.SZ,娣辫瘉缁兼寚,1991/10/23,73.16,73.16,73.16,73.16,23.38,2269300
399106.SZ,娣辫瘉缁兼寚,1991/10/24,73.89,73.89,73.89,73.89,25.2,2327200
399106.SZ,娣辫瘉缁兼寚,1991/10/25,74.25,74.25,74.25,74.25,20.57,1943500
399106.SZ,娣辫瘉缁兼寚,1991/10/26,74.22,74.22,74.22,74.22,15.79,1464500
399106.SZ,娣辫瘉缁兼寚,1991/10/28,77.81,77.81,77.81,77.81,29.91,2580400
399106.SZ,娣辫瘉缁兼寚,1991/10/29,79.92,79.92,79.92,79.92,38.33,3369100
399106.SZ,娣辫瘉缁兼寚,1991/10/30,80.81,80.81,80.81,80.81,42.67,4321400
399106.SZ,娣辫瘉缁兼寚,1991/10/31,86.18,86.18,86.18,86.18,48.29,4605800
399106.SZ,娣辫瘉缁兼寚,1991/11/1,92.84,92.84,92.84,92.84,55.59,4683300
399106.SZ,娣辫瘉缁兼寚,1991/11/2,93.59,93.59,93.59,93.59,36.47,3122400
399106.SZ,娣辫瘉缁兼寚,1991/11/4,102.87,102.87,102.87,102.87,74.69,5655700
399106.SZ,娣辫瘉缁兼寚,1991/11/5,103.46,103.46,103.46,103.46,91.36,6157800
399106.SZ,娣辫瘉缁兼寚,1991/11/6,99.06,99.06,99.06,99.06,73.52,5949300
399106.SZ,娣辫瘉缁兼寚,1991/11/7,101.72,101.72,101.72,101.72,74.26,5284000
399106.SZ,娣辫瘉缁兼寚,1991/11/8,103.68,103.68,103.68,103.68,77.39,6108400
399106.SZ,娣辫瘉缁兼寚,1991/11/9,109.52,109.52,109.52,109.52,49.99,3385400
399106.SZ,娣辫瘉缁兼寚,1991/11/12,128.39,128.39,128.39,128.39,80.56,4803000
399106.SZ,娣辫瘉缁兼寚,1991/11/13,131.84,131.84,131.84,131.84,110.42,5878600
399106.SZ,娣辫瘉缁兼寚,1991/11/14,136.94,136.94,136.94,136.94,89.23,4935700
399106.SZ,娣辫瘉缁兼寚,1991/11/15,131.62,131.62,131.62,131.62,93.84,4991700
399106.SZ,娣辫瘉缁兼寚,1991/11/16,128.05,128.05,128.05,128.05,62.8,3746100
399106.SZ,娣辫瘉缁兼寚,1991/11/18,104.2,104.2,104.2,104.2,59.34,4053700
399106.SZ,娣辫瘉缁兼寚,1991/11/19,123.17,123.17,123.17,123.17,65.49,4064500
399106.SZ,娣辫瘉缁兼寚,1991/11/20,122.12,122.12,122.12,122.12,62.23,3596700
399106.SZ,娣辫瘉缁兼寚,1991/11/21,116.1,116.1,116.1,116.1,41.73,2658200
399106.SZ,娣辫瘉缁兼寚,1991/11/22,119.93,119.93,119.93,119.93,46.72,2832200
399106.SZ,娣辫瘉缁兼寚,1991/11/23,119.31,119.31,119.31,119.31,29.35,1894300
399106.SZ,娣辫瘉缁兼寚,1991/11/25,114.49,114.49,114.49,114.49,34.92,2268400
399106.SZ,娣辫瘉缁兼寚,1991/11/26,106.74,106.74,106.74,106.74,47.78,3264200
399106.SZ,娣辫瘉缁兼寚,1991/11/27,112.42,112.42,112.42,112.42,46.18,3067200
399106.SZ,娣辫瘉缁兼寚,1991/11/28,107.5,107.5,107.5,107.5,49.49,3116900
399106.SZ,娣辫瘉缁兼寚,1991/11/29,103.38,103.38,103.38,103.38,39.68,2956900
399106.SZ,娣辫瘉缁兼寚,1991/11/30,100.93,100.93,100.93,100.93,23.41,1771500
399106.SZ,娣辫瘉缁兼寚,1991/12/2,100.03,100.03,100.03,100.03,41.97,3244800
399106.SZ,娣辫瘉缁兼寚,1991/12/3,104.34,104.34,104.34,104.34,30.59,2180200
399106.SZ,娣辫瘉缁兼寚,1991/12/4,104.87,104.87,104.87,104.87,30.24,2171100
399106.SZ,娣辫瘉缁兼寚,1991/12/5,101.05,101.05,101.05,101.05,14.45,1070800
399106.SZ,娣辫瘉缁兼寚,1991/12/6,102.7,102.7,102.7,102.7,21.88,1680400
399106.SZ,娣辫瘉缁兼寚,1991/12/7,103.79,103.79,103.79,103.79,10.9,838900
399106.SZ,娣辫瘉缁兼寚,1991/12/9,104.56,104.56,104.56,104.56,28.26,2178200
399106.SZ,娣辫瘉缁兼寚,1991/12/10,105.74,105.74,105.74,105.74,28.64,2084900
399106.SZ,娣辫瘉缁兼寚,1991/12/11,105.04,105.04,105.04,105.04,22.09,1578500
399106.SZ,娣辫瘉缁兼寚,1991/12/12,103.18,103.18,103.18,103.18,15.06,1271800
399106.SZ,娣辫瘉缁兼寚,1991/12/13,100.78,100.78,100.78,100.78,31.77,3001700
399106.SZ,娣辫瘉缁兼寚,1991/12/14,102.22,102.22,102.22,102.22,16.19,1491400
399106.SZ,娣辫瘉缁兼寚,1991/12/16,102.82,102.82,102.82,102.82,20.4,1704900
399106.SZ,娣辫瘉缁兼寚,1991/12/17,101.81,101.81,101.81,101.81,15.82,1314500
399106.SZ,娣辫瘉缁兼寚,1991/12/18,101.83,101.83,101.83,101.83,15.42,1208600
399106.SZ,娣辫瘉缁兼寚,1991/12/19,101.41,101.41,101.41,101.41,15.86,1269000
399106.SZ,娣辫瘉缁兼寚,1991/12/20,101.13,101.13,101.13,101.13,15.23,1216500
399106.SZ,娣辫瘉缁兼寚,1991/12/21,101.44,101.44,101.44,101.44,8.43,707000
399106.SZ,娣辫瘉缁兼寚,1991/12/23,102.61,102.61,102.61,102.61,19.44,1483500
399106.SZ,娣辫瘉缁兼寚,1991/12/24,110.47,110.47,110.47,110.47,43.02,3735700
399106.SZ,娣辫瘉缁兼寚,1991/12/25,110.05,110.05,110.05,110.05,41.42,2935800
399106.SZ,娣辫瘉缁兼寚,1991/12/26,106.57,106.57,106.57,106.57,31.88,2394800
399106.SZ,娣辫瘉缁兼寚,1991/12/27,108.34,108.34,108.34,108.34,30.28,2218200
399106.SZ,娣辫瘉缁兼寚,1991/12/28,110.8,110.8,110.8,110.8,19.05,1367200
399106.SZ,娣辫瘉缁兼寚,1991/12/30,109.23,109.23,109.23,109.23,20.88,1510400
399106.SZ,娣辫瘉缁兼寚,1991/12/31,110.37,110.37,110.37,110.37,14.59,1094000
399106.SZ,娣辫瘉缁兼寚,1992/1/2,110.53,110.53,110.53,110.53,26.54,1810900
399106.SZ,娣辫瘉缁兼寚,1992/1/3,110.17,110.17,110.17,110.17,26.62,1825200
399106.SZ,娣辫瘉缁兼寚,1992/1/6,111.32,111.32,111.32,111.32,34.64,2392500
399106.SZ,娣辫瘉缁兼寚,1992/1/7,112.9,112.9,112.9,112.9,48.67,3306200
399106.SZ,娣辫瘉缁兼寚,1992/1/8,112.09,112.09,112.09,112.09,35.75,2440300
399106.SZ,娣辫瘉缁兼寚,1992/1/9,112.74,112.74,112.74,112.74,19.09,1270300
399106.SZ,娣辫瘉缁兼寚,1992/1/10,113.08,113.08,113.08,113.08,16.06,1003100
399106.SZ,娣辫瘉缁兼寚,1992/1/13,111.97,111.97,111.97,111.97,16.38,1038800
399106.SZ,娣辫瘉缁兼寚,1992/1/14,110.33,110.33,110.33,110.33,12.99,936700
399106.SZ,娣辫瘉缁兼寚,1992/1/15,109.21,109.21,109.21,109.21,29.34,2374800
399106.SZ,娣辫瘉缁兼寚,1992/1/16,107.08,107.08,107.08,107.08,16.79,1233100
399106.SZ,娣辫瘉缁兼寚,1992/1/17,108.36,108.36,108.36,108.36,16.14,1158700
399106.SZ,娣辫瘉缁兼寚,1992/1/20,109.74,109.74,109.74,109.74,20.36,1719200
399106.SZ,娣辫瘉缁兼寚,1992/1/21,108.6,108.6,108.6,108.6,14.56,975800
399106.SZ,娣辫瘉缁兼寚,1992/1/22,108.3,108.3,108.3,108.3,19.71,1550500
399106.SZ,娣辫瘉缁兼寚,1992/1/23,109.07,109.07,109.07,109.07,17.69,1379300
399106.SZ,娣辫瘉缁兼寚,1992/1/24,110.15,110.15,110.15,110.15,20.66,1428400
399106.SZ,娣辫瘉缁兼寚,1992/1/27,109.32,109.32,109.32,109.32,26.89,1960800
399106.SZ,娣辫瘉缁兼寚,1992/1/28,109.82,109.82,109.82,109.82,20.25,1340900
399106.SZ,娣辫瘉缁兼寚,1992/1/29,110.98,110.98,110.98,110.98,21.23,1402200
399106.SZ,娣辫瘉缁兼寚,1992/1/30,112.57,112.57,112.57,112.57,22.07,1382300
399106.SZ,娣辫瘉缁兼寚,1992/1/31,114.7,114.7,114.7,114.7,26.62,1652900
399106.SZ,娣辫瘉缁兼寚,1992/2/1,115.36,115.36,115.36,115.36,17.82,995100
399106.SZ,娣辫瘉缁兼寚,1992/2/2,116.36,116.36,116.36,116.36,11.39,733000
399106.SZ,娣辫瘉缁兼寚,1992/2/3,116.36,116.36,116.36,116.36,0,0
399106.SZ,娣辫瘉缁兼寚,1992/2/4,116.36,116.36,116.36,116.36,0,0
399106.SZ,娣辫瘉缁兼寚,1992/2/5,116.36,116.36,116.36,116.36,0,0
399106.SZ,娣辫瘉缁兼寚,1992/2/6,116.36,116.36,116.36,116.36,0,0
399106.SZ,娣辫瘉缁兼寚,1992/2/7,116.36,116.36,116.36,116.36,0,0
399106.SZ,娣辫瘉缁兼寚,1992/2/10,114.46,114.46,114.46,114.46,16.43,955900
399106.SZ,娣辫瘉缁兼寚,1992/2/11,114.49,114.49,114.49,114.49,15.05,847200
399106.SZ,娣辫瘉缁兼寚,1992/2/12,115.31,115.31,115.31,115.31,12.74,718300
399106.SZ,娣辫瘉缁兼寚,1992/2/13,115.29,115.29,115.29,115.29,15.14,824500
399106.SZ,娣辫瘉缁兼寚,1992/2/14,114.21,114.21,114.21,114.21,30.01,2182800
399106.SZ,娣辫瘉缁兼寚,1992/2/17,112.84,112.84,112.84,112.84,25.61,1867300
399106.SZ,娣辫瘉缁兼寚,1992/2/18,112.1,112.1,112.1,112.1,27.31,2217400
399106.SZ,娣辫瘉缁兼寚,1992/2/19,112.24,112.24,112.24,112.24,18.96,1229100
399106.SZ,娣辫瘉缁兼寚,1992/2/20,113.8,113.8,113.8,113.8,21.99,1482500
399106.SZ,娣辫瘉缁兼寚,1992/2/21,113.52,113.52,113.52,113.52,16.63,1105700
399106.SZ,娣辫瘉缁兼寚,1992/2/24,111.37,111.37,111.37,111.37,17.31,1296200
