model,mae,rmse,r2,mape
cnn_8,0.02920511990700711,0.038475939654382785,0.8083265167566079,0.06217768162673371
lstm_8,0.05283821368039957,0.06923499844071616,0.37936689282815683,0.10199423791450854
bilstm_8,0.04246924313580159,0.05426474244331144,0.6187419190314829,0.08408050476312136
cnn_lstm_8,0.02541453000620954,0.03377187489851122,0.8523294443193737,0.05441675258498902
cnn_bilstm_8,0.04173118438244667,0.05550826221073421,0.6010680427544695,0.08296681107679614
cbmams_bilstm_8,0.0492661995012504,0.06351523617721198,0.47767669923346545,0.09939911537682526
