,mse_R,mae_R,hmse_R,hmae_R,mse_MAX,mae_MAX,hmse_MAX,hmae_MAX
cnn_8,0.003,0.002,0.001,0.0,0.004,0.003,0.002,0.001
lstm_8,0.011,0.002,0.002,0.002,0.015,0.007,0.007,0.005
bilstm_8,0.029,0.011,0.027,0.009,0.144,0.044,0.146,0.04
cnn_lstm_8,0.029,0.011,0.027,0.012,0.144,0.044,0.146,0.04
cnn_bilstm_8,0.029,0.031,0.027,0.038,0.144,0.044,0.146,0.04
cbmams_bilstm_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
