model,mae,rmse,r2,mape
cnn_8,0.020557661216716035,0.02727523295926391,0.7825945754514253,0.051603127179410346
lstm_8,0.05430029536662755,0.07072765850895216,-0.46188092801072655,0.11990502691249921
bilstm_8,0.04651354329200375,0.06212527676101941,-0.12789874088012754,0.10474946766934533
cnn_lstm_8,0.04714691375381684,0.06453898792961169,-0.21724427411945046,0.1051303471639899
cnn_bilstm_8,0.04428182769502312,0.058059065929458184,0.014915404174853486,0.10047499022047982
cbmams_bilstm_8,0.05195000266102549,0.06879018838240822,-0.382886179790511,0.11621686268416177
